"Ministry","Division","Organization","Procuring Entity Name","Procuring Entity Code","Procuring Entity District","Procurement Nature","Procurement Type","Event Type","Invitation for ","Invitation Reference No.","App ID","Tender/Proposal ID","Procurement Method ","Budget Type","Source of Funds","Project Code","Project Name","Tender/Proposal Package No. and Description","Category","Scheduled Tender/Proposal Publication Date and Time","Tender/Proposal Document last selling / downloading Date and Time","Eligibility of Tenderer","Brief Description of Works","Evaluation Type","Document Available","Document Fees","Tender/Proposal Document Price (In BDT) ","Mode of Payment","Tender/Proposal Security Valid Up to","Tender/Proposal Valid Up to","Lot No.","Identification of Lot","Location","Tender/Proposal security(Amount in BDT)","Tentative Start Date","Tentative Completion Date","Name of Official Inviting Tender/Proposal","Designation of Official Inviting Tender/Proposal","Address of Official Inviting Tender/Proposal","Address","City","Thana","District","Phone No","Fax No","Estimated Cost","Tender Link"
"Ministry of Education","Secondary and Higher Education Division","Education Engineering Department","Office of the Executive Engineer, EED, Dhaka Metro.","01","Dhaka","Works","NCT","TENDER","Tender - Single Lot","37.07.0000.001.20.001.24-1044, 24.12.2025","227548","1317347","Open Tendering Method (OTM)","Revenue","Government","1250301-120001601-3258108","Repair/Renovation of Govt. Educational Institutions","EED/DM/Revenue/Govt. Repair/SHED/2024-25/WR-053 Re-Construction of Guard Rooms including Security ensure Works of Administrative cum academic Buildings at Govt. Muslim High School under Sutrapur Thana of Dhaka Metro. (RMS ID-1001455, FY-2023-24)","Construction work;Site preparation work;Building demolition and wrecking work and earthmoving work;Test drilling and boring work;Works for complete or part construction and civil engineering work;Building construction work;Engineering works and construction works;Construction work for pipelines, communication and power lines, for highways, roads, airfields and railways; flatwork;Construction work for water projects;Construction works for plants, mining and manufacturing and for buildings relating to the oil and gas industry;Roof works and other special trade construction works;Building installation work;Electrical installation work;Insulation work;Plumbing and sanitary works;Fencing, railing and safety equipment installation work;Mechanical installations;Building completion work;Plastering work;Joinery and carpentry installation work;Floor and wall covering work;Painting and glazing work;Other building completion work;Hire of construction and civil engineering machinery and equipment with operator;Hire of cranes with operator;Hire of earthmoving equipment with operator","13-Aug-2026 09:00","23-Aug-2026 15:00","As Per TDS.","EED/DM/Revenue/Govt. Repair/SHED/2024-25/WR-053 Re-Construction of Guard Rooms including Security ensure Works of Administrative cum academic Buildings at Govt. Muslim High School under Sutrapur Thana of Dhaka Metro. (RMS ID-1001455, FY-2023-24)","Lot wise","Package wise","Package wise","1000","Payment through Bank","18-Feb-2027","18-Feb-2027","01","Re-Construction of Guard Rooms including Security ensure Works of Administrative cum academic Buildings at Govt. Muslim High School under Sutrapur Thana of Dhaka Metro. (RMS ID-1001455, FY-2023-24)","Sutrapur Thana of Dhaka Metro","25000","30-Sep-2026","29-Mar-2027","MONZURUL ALAM SHARIF","Executive Engineer","Address : D-22 (2nd Floor), Sher-e-Bangla Nagar, Dhaka-1207 City : Dhaka Thana : Dhaka North City Corporation District : Dhaka - 1000 Country : Bangladesh","D-22 (2nd Floor), Sher-e-Bangla Nagar, Dhaka-1207","Dhaka","Dhaka North City Corporation","Dhaka - 1000","02-222216501","02-9138783","Not Found","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1317347"
"Ministry of Home Affairs","","Bangladesh Police","Office of the Superintendent of Police, Nilphamari","00165","Nilphamari","Goods","NCT","TENDER","Tender - Single Lot","SP.NIL.DAL. Q2","221037","1315392","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","SP.NIL.DAL. Q2 Procurement of High quality Packaged Lentil( Deshi musur dal) for the financial Year 2026-2027( 2nd Quarter) at District police line Ration store ,Nilphamari","Food products and beverages; Animal products, meat and meat products; Prepared and preserved fish; Fruit, vegetables and related products; Animal or vegetable oils and fats; Dairy products; Grain mill products, starches and starch products; Animal feedstuffs; Miscellaneous food products; Beverages;Meat;Animal wool, hides and skins;Meat products;Fish fillets, fish livers and roe;Frozen fish, fish fillets and other fish meat;Dried or salted fish; fish in brine; smoked fish;Canned or tinned fish and other prepared or preserved fish;Seafood;Potatoes and potato products;Fruit and vegetable juices;Fruit and vegetables;Crude animal or vegetable oils and fats;Refined oils and fats;Edible fats;Milk and cream;Butter;Cheese products;Assorted dairy products;Grain mill products;Starches and starch products;Prepared animal feeds for farm and other animals;Bread products, fresh pastry goods and cakes;Rusks and biscuits; preserved pastry goods and cakes;Sugar and related products;Cocoa; chocolate and sugar confectionery;Pasta products;Coffee, tea and related products;Condiments and seasonings;Special nutritional products;Miscellaneous food products n.e.c. and dried goods;Distilled alcoholic beverages;Wines;Cider and other fruit wines;Non-distilled fermented beverages;Malt beer;Non-alcoholic beverages","13-Aug-2026 10:00","23-Aug-2026 17:00","1.Tenderer shall have general experience in supplying goods of last 01 years with good reputation (time will be counted backward from the date of publication of IFT in e-GP system) 2. Satisfactory completion of similar nature of good supply work worth not less than Tk. 18.50 Lac only in a single work order in Government/ Semi Government/Autonomous Bodies of Bangladesh during last 1 years. 3. Tenderers must have liquid asset amounting TK. 29.60 Lac in the form of PG2-5, (time will be counted backward from the date of publication of IFT in e-GP system) 4. Up-to date Trade License, up-to date Income Tax Clearance and up-to date VAT Regi. Certificate . 5. Declaration of bidder is not blacklisted 6.The instructions, PHQ Per 10 grams Musur Dal must be Contained 600 Dana., lentils Pulses should be Packaged and supplied in High- quality transparent polybags of 3.5 kg 4 kg and 5.5kg and the weight of the product, date of product and expiry date should be clearly mentioned on the Package. 7.as a general and special condition of the contract, lentils will be supplied as per the sample kept at Ration Store police lines Nilphamari as per the work order.the required Lentils will be transported and warehoused to Ration store Nilphamari at their own expenses. The net Quality of lentils will be weighted. If lentils cannot be Supplied as per the sample, legal action will be taken including confiscation. 8. Income tax and vat will be cut as per the rules and regulations of the government. Bill will be paid after the allocation from the gov. 9.The price given in the tender must be consistent with the market price. 10.The Purchaser reserves the right to accept, reject or cancel the tender at any time withourt assigning any reason. The Authority is not bound to accept the tender of the lowest bidder. 11. Sample must be delivered to police ration store Nilphamari.","Procurement of High quality Packaged Lentil( Deshi musur dal) for the financial Year 2026-2027( 2nd Quarter) at District police line Ration store ,Nilphamari","Lot wise","Package wise","Package wise","1500","Payment through Bank","20-Dec-2026","20-Dec-2026","1","Procurement of High quality Packaged Lentil( Deshi musur dal) for the financial Year 2026-2027( 2nd Quarter) at District police line Ration store ,Nilphamari","Sp office nilphamari","95000","25-Aug-2026","31-Dec-2026","MD. FARHAD HOSSAIN KHAN","SP","Address : Office of the Superintendent of Police, Nilphamari City : Nilphamari Thana : Nilphamari Sadar District : Nilphamari - 5300 Country : Bangladesh","Office of the Superintendent of Police, Nilphamari","Nilphamari","Nilphamari Sadar","Nilphamari - 5300","0551-61412","0551-61555","Not Found","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1315392"
"Ministry of Local Government","Rural Development and Co-operatives","Dhaka Water Supply and Sewerage Authority (DWASA)","Office of DS, Common Service Division","203","Dhaka","Goods","NCT","TENDER","Tender - Single Lot","46.113.205.00.00.366/26-27/otm-2/notice-2","228450","1316525","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","46.113.205.00.00.365/26-27/otm-2 Supply of necessary parts for repair of 07 nos car under transport pool, DWASA","Repair, maintenance and associated services of vehicles and related equipment; Repair, maintenance and installation services;Repair and maintenance services of motor vehicles and associated equipment;Demolition services of vehicles","13-Aug-2026 10:00","27-Aug-2026 10:00","As Per TDS & PCC","Supply of necessary parts for repair of 07 nos car under transport pool, DWASA","Lot wise","Package wise","Package wise","500","Payment through Bank","23-Dec-2026","23-Dec-2026","single","Supply of necessary parts for repair of 07 nos car under transport pool, DWASA","Dhaka","25000","30-Aug-2026","17-Sep-2026","Alamgir Hossain","Deputy Secretary","Address : 2nd Floor, WASA Bhaban
98, Kazi Nazrul Islam Avenue
Kawran Bazar, Dhaka City : Dhaka Thana : Dhaka North City Corporation District : Dhaka - 1215 Country : Bangladesh","","Dhaka","Dhaka North City Corporation","Dhaka - 1215","02-9135027","","992000.00, OTM","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1316525"
"Ministry of Local Government","Rural Development and Co-operatives","Local Government Engineering Department (LGED)","PIU Office of Keshorhat Pourashava, Rajshahi","","Rajshahi","Works","NCT","TENDER","Tender - Single Lot","46.43.8153.653.11.000.26.042/1  Dated: 03/08/2026","221568","1314750","Open Tendering Method (OTM)","Development","Government, Aid or Grant","13703-1/224048000","Improving Urban Governance and Infrastructure Program","IUGIP/KESR/UT/01/2023 Improvement/Rehabiltation of 5,507m Roads by Uni-Block/DBC/RCC in 16 locations with 571m protection work, including 7 nos Drain (1x1x7) with 197 nos Street Light at Keshorhat Pourashava, District: Rajshahi.","Construction work;Site preparation work;Building demolition and wrecking work and earthmoving work;Test drilling and boring work;Works for complete or part construction and civil engineering work;Building construction work;Engineering works and construction works;Construction work for pipelines, communication and power lines, for highways, roads, airfields and railways; flatwork;Construction work for water projects;Construction works for plants, mining and manufacturing and for buildings relating to the oil and gas industry;Roof works and other special trade construction works;Building installation work;Electrical installation work;Insulation work;Plumbing and sanitary works;Fencing, railing and safety equipment installation work;Mechanical installations;Building completion work;Plastering work;Joinery and carpentry installation work;Floor and wall covering work;Painting and glazing work;Other building completion work;Hire of construction and civil engineering machinery and equipment with operator;Hire of cranes with operator;Hire of earthmoving equipment with operator","13-Aug-2026 09:00","06-Sep-2026 16:00","As per stated in TDS & all eligible countries of ADB members countries","Improvement/ Rehabilitation of 5,507 m Roads by Uni-Block/ DBC/ RCC in 16 locations with 571m Protection Work, including 7 Nos Drain (1x1x7) with 197 nos Street Light at Keshorhat Pourashava, District: Rajshahi.","Lot wise","Package wise","Package wise","4000","Payment through Bank","04-Mar-2027","04-Mar-2027","1","Improvement/Rehabiltation of 5,507m Roads by Uni-Block/DBC/RCC in 16 locations with 571m protection work, including 7 nos Drain (1x1x7) with 197 nos Street Light at Keshorhat Pourashava, District: Rajshahi.","Keshorhat Pourashava","1300000","01-Nov-2026","31-May-2028","Sardar Md.Jahangir Alam","Assistant Engineer","Address : Keshorhat Pourashava City : Keshorhat Thana : Mohanpur District : Rajshahi - 6212 Country : Bangladesh","Keshorhat Pourashava","Keshorhat","Mohanpur","Rajshahi - 6212","07226-56056","","63100000.00, OTM","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1314750"
"Ministry of Local Government","Rural Development and Co-operatives","Local Government Engineering Department (LGED)","PIU Office of Keshorhat Pourashava, Rajshahi","","Rajshahi","Works","NCT","TENDER","Tender - Single Lot","46.43.8153.653.11.000.26.042/2  Dated: 03/08/2026","221568","1314751","Open Tendering Method (OTM)","Development","Government, Aid or Grant","13703-1/224048000","Improving Urban Governance and Infrastructure Program","IUGIP/KESH/UT-DR/02/2023 Improvement / Rehabilltation of Roads 6275.00m in 13 locations, Drains 2961.00m in 17 locations Including 990.00m of Protection Work & Tree plantation with EMP at Keshorhat Pourashava, Rajshahi.","Construction work; Site preparation work; Works for complete or part construction and civil engineering work; Building installation work; Building completion work; Hire of construction and civil engineering machinery and equipment with operator;Building demolition and wrecking work and earthmoving work;Test drilling and boring work;Building construction work;Engineering works and construction works;Construction work for pipelines, communication and power lines, for highways, roads, airfields and railways; flatwork;Construction work for water projects;Construction works for plants, mining and manufacturing and for buildings relating to the oil and gas industry;Roof works and other special trade construction works;Electrical installation work;Insulation work;Plumbing and sanitary works;Fencing, railing and safety equipment installation work;Mechanical installations;Plastering work;Joinery and carpentry installation work;Floor and wall covering work;Painting and glazing work;Other building completion work;Hire of cranes with operator;Hire of earthmoving equipment with operator","13-Aug-2026 09:00","06-Sep-2026 16:00","As per stated in TDS & all eligible countries of ADB members countries","Improvement / Rehabilitation of Roads 6275.00m in 13 locations, Drains 2961.00.00m in 17 Locations, Including 990.00m of Protection Work &Tree plantation with EMP at Keshorhat Paurashava, Rajshahi.","Lot wise","Package wise","Package wise","5000","Payment through Bank","04-Mar-2027","04-Mar-2027","1","Improvement / Rehabilltation of Roads 6275.00m in 13 locations, Drains 2961.00m in 17 locations Including 990.00m of Protection Work & Tree plantation with EMP at Keshorhat Pourashava, Rajshahi.","Keshorhat Pourashava","2250000","01-Nov-2026","31-May-2028","Sardar Md.Jahangir Alam","Assistant Engineer","Address : Keshorhat Pourashava City : Keshorhat Thana : Mohanpur District : Rajshahi - 6212 Country : Bangladesh","Keshorhat Pourashava","Keshorhat","Mohanpur","Rajshahi - 6212","07226-56056","","112300000.00, OTM","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1314751"
"Ministry of Energy","Power and Mineral Resources","Bangladesh Power Development Board","PC Pole Mfg. Plant, Ctg.","","Chattogram","Works","NCT","TENDER","Tender - Single Lot","27.11.1500.509.01.006.26-87 Date: 11/08/2025","214160","1302046","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","OMW-56. Yearly re-winding works of AC/DC Motor (0.50-10 HP).","Repair and maintenance services of machinery; Repair and maintenance services for pumps, valves, taps and metal containers and machinery;","13-Aug-2026 10:53","23-Aug-2026 15:30","As per tender documents","Yearly re-winding works of AC/DC Motor (0.50-10 HP) at PC Pole Mfg. Plant, BPDB, Halishahar, Chattogram.","Lot wise","Package wise","Package wise","500","Payment through Bank","19-Jan-2027","19-Jan-2027","1","Yearly re-winding works of AC/DC Motor (0.50-10 HP).","PC Pole Mfg Plant BPDB Halishahar Chattogram","11500","01-Sep-2026","30-Jun-2027","PRATITI CHAKMA","Executive Engineer","Address : PC Pool Manufacturing Plant, BPDB, Halisohor, K-Block, Rampur, chittagong City : chittagong Thana : Chattogram City Corporation District : Chattogram - 4224 Country : Bangladesh","PC Pool Manufacturing Plant, BPDB, Halisohor, K-Block, Rampur, chittagong","chittagong","Chattogram City Corporation","Chattogram - 4224","031-728091","","500000.00, OTM","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1302046"
"Ministry of Local Government","Rural Development and Co-operatives","Zilla Parishad, Narsingdi","Zila Parishad, Narsingdi","","Norshingdi","Works","NCT","TENDER","Tender - Single Lot","Library-Dakbunglow-2024-2025-2026","230184","1318162","One stage Two Envelopes Tendering Method (OSTETM)","Own Fund","Own fund","Library-Dakbunglow-2024-2025-2026","Library-Dakbunglow-2024-2025-2026","Zila Parishad Own/ Library-Dakbunglow-1 1. Convertion of Shibpur Public Library to Modern Multipurpose Community Centre. 2. Develpment and Renovation of Zila Parishad Narsingdi Sadar Bouakur New Dakbunglow.","Construction work; Architectural, engineering, construction, legal, accounting and other professional services;Site preparation work;Building demolition and wrecking work and earthmoving work;Test drilling and boring work;Works for complete or part construction and civil engineering work;Building construction work;Engineering works and construction works;Construction work for pipelines, communication and power lines, for highways, roads, airfields and railways; flatwork;Construction work for water projects;Construction works for plants, mining and manufacturing and for buildings relating to the oil and gas industry;Roof works and other special trade construction works;Building installation work;Electrical installation work;Insulation work;Plumbing and sanitary works;Fencing, railing and safety equipment installation work;Mechanical installations;Building completion work;Plastering work;Joinery and carpentry installation work;Floor and wall covering work;Painting and glazing work;Other building completion work;Hire of construction and civil engineering machinery and equipment with operator;Hire of cranes with operator;Hire of earthmoving equipment with operator;Legal, accounting, auditing, business, management and related services;Legal services;Accounting, auditing and fiscal services;Market research, public-opinion polling and related services;Business and management consultancy and related services;Management holdings services;Architectural, engineering, construction and related technical consultancy services;Technical consultancy services;Architectural and related services;Engineering services;Integrated engineering services;Urban planning and landscape architectural services;Construction-related services;Engineering-related scientific and technical services;Testing, inspection, analysis, monitoring and control services;Technical testing and analysis services;Monitoring and control services;Advertising and marketing services;Advertising services;Marketing services;Labour recruitment and provision of personnel services.;Placement services of personnel.;Supply services of personnel.;Recruitment services.;Personnel services except placement and supply services;Investigation and security services;Security services;Investigation services;Cleaning services;Accommodation cleaning services;Industrial cleaning services;Specialised cleaning services;Miscellaneous cleaning services;Office cleaning services;School cleaning services;Miscellaneous business and business-related services;Photographic and ancillary services;Packaging and related services;Secretarial and related services;Specialty design services;Collection agency services;Exhibition, fair and congress organisation services;Miscellaneous business-related services","13-Aug-2026 10:00","27-Aug-2026 08:00","(a) Valid Trade License (b) Updated TIN Certificate (c) Valid BIN Registration Certificate Tenderer should submit all the required documents stated in TDS+ITT+PCC+GCC","1. Convertion of Shibpur Public Library to Modern Multipurpose Community Centre. 2. Develpment and Renovation of Zila Parishad Narsingdi Sadar Bouakur New Dakbunglow.","Lot wise","Package wise","Package wise","4000","Payment through Bank","22-Jan-2027","22-Jan-2027","1","1. Convertion of Shibpur Public Library to Modern Multipurpose Community Centre. 2. Develpment and Renovation of Zila Parishad Narsingdi Sadar Bouakur New Dakbunglow.","Shibpur, Narsingdi Sadar","600000","10-Sep-2026","31-Aug-2027","NOOR-E-EALHAM","Assistant Engineer","Address : Narsingdi City : Narsingdi Thana : Narshingdi Sadar District : Norshingdi - 1600 Country : Bangladesh","Narsingdi","Narsingdi","Narshingdi Sadar","Norshingdi - 1600","02-9463765","","Not Found","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1318162"
"Ministry of Science and Technology","","Bangladesh Atomic Energy Commission (BAEC)","Bioscience Division, BAEC Headquarter","","Dhaka","Goods","ICT","TENDER","Tender - Single Lot","39.01.0000.225.07.016.2026","230062","1317577","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","Bio-GD/01 Supply of I-131 Therapeutic Capsule to NINMAS, Shahbagh Dhaka and 21 (Twenty One) INMAS of Bangladesh Atomic Energy Commission over a period of 12 months","Medicinal products; Chemicals, chemical products and man-made fibres;Medicinal products for the alimentary tract and metabolism;Medicinal products for the blood, blood-forming organs and the cardiovascular system;Medicinal products for dermatology and the musculo-skeletal system;Medicinal products for the genitourinary system and hormones;General anti-infectives for systemic use, vaccines, antineoplastic and immunodulating agents;Medicinal products for the nervous system and sensory organs;Medicinal products for the respiratory system;Various medicinal products","13-Aug-2026 10:30","23-Sep-2026 15:30","Tenderers have to submit (i) Up to date Trade License (ii) Up to date Income Tax Clearance Certificate (iii) Financial Solvency Certificate (iv) VAT Registration Certificate and (v) At least three (03) years experience in supply of similar nature of goods to Govt SemiGovt Autonomous Semi-Autonomous Organization or Reputed Private Multinational Company with a satisfactorily completion certificate from Chief Executive Equivalent to be shown and attested copies of the relevant papers must be submitted with the Tender","Supply of I-131 Therapeutic Capsule to NINMAS Shahbagh Dhaka and 21 (Twenty One) INMAS of Bangladesh Atomic Energy Commission over a period of 12 months","Lot wise","Package wise","Package wise","12000","Payment through Bank","19-Feb-2027","19-Feb-2027","01","Supply of I-131 Therapeutic Capsule to NINMAS, Shahbagh Dhaka and 21 (Twenty One) INMAS of Bangladesh Atomic Energy Commission over a period of 12 months","NINMAS Shahbagh Dhaka and 21 INMAS of Bangladesh Atomic Energy Commission","16260","15-Oct-2026","30-Jun-2027","ROKSANA HUQUE","Director","Address : Poromanu Bhaban, E-12/A, Agargaon, Sher-e-Bangla Nagar, Dhaka-1207 City : Dhaka Thana : Dhaka North City Corporation District : Dhaka - 1207 Country : Bangladesh","Poromanu Bhaban, E-12/A, Agargaon, Sher-e-Bangla Nagar, Dhaka-1207","Dhaka","Dhaka North City Corporation","Dhaka - 1207","02-58160551","","100000000.00, OTM","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1317577"
"Ministry of Finance","Internal Resource Division","National Board of Revenue","Customs, Excise and VAT Commissionerate, Narayanganj","","Narayanganj","Goods","NCT","TENDER","Tender - Single Lot","08.01.6700.036.023.33.0141.26/2041","228332","1315990","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","cev/nara/24 Procurement Of Computer And Accessories","Computer equipment and supplies; Office and computing machinery, equipment and supplies;Data-processing machines;Digital cartography equipment;Computer hardware;Software;Computer systems;Servers","13-Aug-2026 10:00","23-Aug-2026 14:00","As specified in TDS","As specified in TDS","Lot wise","Package wise","Package wise","1000","Payment through Bank","19-Dec-2026","19-Dec-2026","1","Procurement Of Computer,printer, Scanner and Others Accessories","Fatullah, Narayanganj","75000","15-Sep-2026","05-Oct-2026","Mohammad Mahmudul Hassan","commissioner","Address : Tarabo Bazar, Rupganj, Narayanganj City : Narayanganj Thana : Rupganj District : Narayanganj - 1460 Country : Bangladesh","Tarabo Bazar, Rupganj, Narayanganj","Narayanganj","Rupganj","Narayanganj - 1460","017-11117808","","2500000.00, OTM","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1315990"
"Ministry of Health and Family Welfare","Health Services Division","Directorate General of Health Services (DGHS)","Rowangchari Upazila Health Complex, Bandarban","","Bandarban","Goods","NCT","TENDER","Tender - Single Lot","UHC/Rowang/Tender/MSR/414/2","229043","1316994","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","UHC/Rowang/Tender/MSR/414/2 Procurement of Medical Instrument F/Y 2026-2027","Instruments and appliances for measuring, checking, testing and navigating; Medical and laboratory devices, optical and precision devices, watches and clocks, pharmaceuticals and related medical consumables;Navigational, meteorological, geological and geophysical instruments;Remote-control equipment;Precision balances, instruments for drawing, calculating and measuring length;Instruments for measuring quantities;Instruments for checking physical characteristics;Checking and testing apparatus;Regulating and controlling instruments and apparatus;Non-medical equipment based on the use of radiations","13-Aug-2026 08:00","27-Aug-2026 10:30","Procurement of Medical Instrument F/Y 2026-2027","Procurement of Medical Instrument F/Y 2026-2027","Lot wise","Package wise","Package wise","500","Payment through Bank","24-Jan-2027","24-Jan-2027","Single","Procurement of Medical Instrument F/Y 2026-2027","UHC Rowangchari Bandarban","15200","30-Sep-2026","30-Dec-2026","Aye Khing Marma","UH&FPO","Address : Rowangchari Upazila Health Complex, Bandarban City : Rowangchari Thana : Rowangchari District : Bandarban - 4610 Country : Bangladesh","Rowangchari Upazila Health Complex, Bandarban","Rowangchari","Rowangchari","Bandarban - 4610","0183-1468808","","760000.00, OTM","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1316994"
"Ministry of Health and Family Welfare","Health Services Division","Directorate General of Health Services (DGHS)","Rowangchari Upazila Health Complex, Bandarban","","Bandarban","Goods","NCT","TENDER","Tender - Single Lot","UHC/Rowang/Tender/MSR/414/3","229043","1316995","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","UHC/Rowang/Tender/MSR/414/3 Procurement of Chemical & Re-agent F/Y 2026-2027","Chemicals, chemical products and man-made fibres;Chemicals;Gases;Dyes and pigments;Basic inorganic chemicals;Basic organic chemicals;Fertilisers and nitrogen compounds;Plastics in primary forms;Synthetic rubber;Enzymes;Agro-chemical products;Pesticides;Insecticides;Herbicides;Plant-growth regulators;Disinfectants;Rodenticides;Fungicides;Paints, varnishes, printing ink and mastics;Paints;Varnishes;Ink;Mastics, fillers, putty;Solvents;Medicinal products;Medicinal products for the alimentary tract and metabolism;Medicinal products for the blood, blood-forming organs and the cardiovascular system;Medicinal products for dermatology and the musculo-skeletal system;Medicinal products for the genitourinary system and hormones;General anti-infectives for systemic use, vaccines, antineoplastic and immunodulating agents;Medicinal products for the nervous system and sensory organs;Medicinal products for the respiratory system;Various medicinal products;Glycerol, soaps, detergents, cleaning and polishing preparations, perfumes and toilet preparations;Glycerol;Perfumes and toiletries;Explosives and fine chemical products;Prepared explosives;Glues;Essential oils;Photographic chemicals;Unrecorded media;Specialised chemical products;Man-made fibres;Synthetic fibres;Artificial fibres;Various chemical products;Radiator fluids;Water-treatment chemicals;Anti-corrosion products","13-Aug-2026 08:00","27-Aug-2026 10:30","Procurement of Chemical & Re-agent F/Y 2026-2027","Procurement of Chemical & Re-agent F/Y 2026-2027","Lot wise","Package wise","Package wise","500","Payment through Bank","24-Jan-2027","24-Jan-2027","Single","Procurement of Chemical & Re-agent F/Y 2026-2027","UHC Rowangchari Bandarban","3100","30-Sep-2026","31-Dec-2026","Aye Khing Marma","UH&FPO","Address : Rowangchari Upazila Health Complex, Bandarban City : Rowangchari Thana : Rowangchari District : Bandarban - 4610 Country : Bangladesh","Rowangchari Upazila Health Complex, Bandarban","Rowangchari","Rowangchari","Bandarban - 4610","0183-1468808","","152000.00, OTM","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1316995"
"Ministry of Local Government","Rural Development and Co-operatives","Dhaka Water Supply and Sewerage Authority (DWASA)","Office of DS, Common Service Division","203","Dhaka","Goods","NCT","TENDER","Tender - Single Lot","46.113.205.00.00.365/26-27/otm-1/notice-1","228450","1316404","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","46.113.205.00.00.365/26-27/otm-1 Supply and Installation of Necessary Spare Parts and Repair Works for 06 (Six) Nos. Laguna Vehicles under Revenue Zones 1, 3, and 8 of Dhaka WASA","Repair, maintenance and associated services of vehicles and related equipment; Repair, maintenance and installation services;Repair and maintenance services of motor vehicles and associated equipment;Demolition services of vehicles","13-Aug-2026 10:02","27-Aug-2026 10:02","As per TDS & PCC","Supply and Installation of Necessary Spare Parts and Repair Works for 06 (Six) Nos. Laguna Vehicles under Revenue Zones 1, 3, and 8 of Dhaka WASA","Lot wise","Package wise","Package wise","500","Payment through Bank","23-Dec-2026","23-Dec-2026","single","Supply and Installation of Necessary Spare Parts and Repair Works for 06 (Six) Nos. Laguna Vehicles under Revenue Zones 1, 3, and 8 of Dhaka WASA","Dhaka","25000","30-Aug-2026","24-Sep-2026","Alamgir Hossain","Deputy Secretary","Address : 2nd Floor, WASA Bhaban
98, Kazi Nazrul Islam Avenue
Kawran Bazar, Dhaka City : Dhaka Thana : Dhaka North City Corporation District : Dhaka - 1215 Country : Bangladesh","","Dhaka","Dhaka North City Corporation","Dhaka - 1215","02-9135027","","952000.00, OTM","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1316404"
