"Ministry","Division","Organization","Procuring Entity Name","Procuring Entity Code","Procuring Entity District","Procurement Nature","Procurement Type","Event Type","Invitation for ","Invitation Reference No.","App ID","Tender/Proposal ID","Procurement Method ","Budget Type","Source of Funds","Project Code","Project Name","Tender/Proposal Package No. and Description","Category","Scheduled Tender/Proposal Publication Date and Time","Tender/Proposal Document last selling / downloading Date and Time","Eligibility of Tenderer","Brief Description of Works","Evaluation Type","Document Available","Document Fees","Tender/Proposal Document Price (In BDT) ","Mode of Payment","Tender/Proposal Security Valid Up to","Tender/Proposal Valid Up to","Lot No.","Identification of Lot","Location","Tender/Proposal security(Amount in BDT)","Tentative Start Date","Tentative Completion Date","Name of Official Inviting Tender/Proposal","Designation of Official Inviting Tender/Proposal","Address of Official Inviting Tender/Proposal","Address","City","Thana","District","Phone No","Fax No","Estimated Cost","Tender Link"
"Ministry of Education","Secondary and Higher Education Division","National Curriculum and textbook Board (NCTB)","Member (Textbook), NCTB","","Dhaka","Goods","NCT","TENDER","Tender - Single Lot","37.06.0000.303.07.008.26.1872","225442","1323187","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","2027.GD.EBT.1-5.2017 For Printing (with paper), Binding and Supplying  of textbooks of Ebtedayee 1, 2, 3, 4 & 5 to be  distributed free of cost for the Academic Year 2027.","Various types of printed matter and articles for printing; Printing, publishing and related services;Printed books, brochures and leaflets;Printed books;Publications;Directories;Leaflets;Brochures;Booklets;Newspapers, journals, periodicals and magazines;Newspapers;Postcards, greeting cards and other printed matter;Postcards;Greeting cards;Stamps, cheque forms, banknotes, stock certificates, trade advertising material, catalogues and manuals;Stamps;Stamp-impressed paper;Banknotes;Cheque forms;Security-type printed matter;Trade-advertising material, commercial catalogues and manuals;Manuals;Printing plates or cylinders or other media for use in printing;Offset plates;Dry-etching equipment;Paper or paperboard registers, account books, binders, forms and other articles of printed stationery;Paper or paperboard registers;Forms;Exercise books;Albums for samples;Binders and related accessories;Printed stationery except forms;Miscellaneous printed matter;Car-tax discs;Driving licences;ID cards;Permits;Entrance cards;Bespoke printed matter;Tickets;Printing services;Printing services for books;Printing services for stationery;Printing services for security printed matter;Printing services for forms;Printing services for tickets;Printing services for calendars;Printing services for timetables;Newspaper printing services;Printing services for posters;Services related to printing;Print finishing services;Composition services;Printing and delivery services;Printing and distribution services;Publishing services;Bookbinding and finishing services;Subscription services","25-Aug-2026 16:00","07-Sep-2026 16:00","As Per TDS","For Printing (with paper), Binding and Supplying of textbooks of Ebtedayee 1, 2, 3, 4 & 5 to be distributed free of cost for the Academic Year 2027.","Lot wise","Package wise","Package wise","4000","Payment through Bank","05-Mar-2027","05-Mar-2027","2017","For Printing (with paper), Binding and Supplying  of textbooks of Ebtedayee 1, 2, 3, 4 & 5 to be  distributed free of cost for the Academic Year 2027.","As Per Delivery Schedule","580000","06-Oct-2026","26-Nov-2026","Mohammad Abu Nasher Tuku","Member (Textbook)","Address :  69-70, Motijheel, C/A, Dhaka-1000 City : Dhaka Thana : Dhaka South City Corporation District : Dhaka - 1000 Country : Bangladesh","69-70, Motijheel, C/A, Dhaka-1000","Dhaka","Dhaka South City Corporation","Dhaka - 1000","02-9550805","","22449733.54, OTM","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1323187"
"Ministry of Home Affairs","","Prisons Directorate","The Inspector General of Prisons","","Dhaka","Goods","NCT","TENDER","Tender - Single Lot","47.07.0000.030.25.043.26-1097, Date: 17.08.2026","227466","1319685","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","e-Gp/PD/Jeep/2026-27 Jeep","Motor vehicles, trailers and vehicle parts;Motor vehicles;Passenger cars;Motor vehicles for the transport of 10 or more persons;Motor vehicles for the transport of goods;Heavy-duty motor vehicles;Vehicle bodies, trailers or semi-trailers;Vehicle bodies;Trailers, semi-trailers and mobile containers;Parts and accessories for vehicles and their engines;Engines and engine parts;Mechanical spare parts except engines and engine parts;Test benches;Vehicle conversion kits;Seat belts;Spare parts for goods vehicles;Spare parts for vans;Spare parts for cars;Tractor accessories;Motorcycles, bicycles and sidecars;Motorcycles;Motor scooters;Cycles with auxiliary motors;Bicycles","25-Aug-2026 16:00","10-Sep-2026 13:00","a. All the tenderers must follow the PPR-2025 rules & regulations; b. Following documents have to be submitted/uploaded; (I) The minimum of years of general experience of the Tenderer in the supply of Goods and related services as Supplier shall be 01 (One) year; (years counting backward from the date of publication of IFT in the e-GP system.) (II) The minimum specific experience as Supplier in supply of similar Goods of at least 01(One) contract successfully completed within the last 05 (Five) years with a value of at least Tk 1,20,00,000 (One Crore Twenty Lakh Only) ; (years counting backward from the date of publication of IFT in the e-gp system.) (III) The minimum amount of liquid assets i.e. working capital or credit line (s) (Form PG3-8) of the Tenderer shall be Tk 1,50,00,000; (One Crore Fifty Lakh Only); (IV) Up-to- date Valid Trade License as Supplier/Manufacturer; (V) Up-to- date Income Tax clearance certificate; (VI) Up-to- date e-Bin (13 digits) registration certificate; (VII) Manufacturer Authorization Letter or Contract deed with the Importers/ Manufacturer (if bidder is a supplier); (VIII) Certificate of incorporation (in case of limited company); (IX) Sample of Jeep/Catalogue must be submitted to the prisons Directorate as per technical specification on or before tender opening date and time;","Jeep","Lot wise","Package wise","Package wise","2500","Payment through Bank","07-Mar-2027","07-Mar-2027","1","Jeep","Prison Directorate","420000","17-Sep-2026","16-Dec-2026","MOHAMMAD FORKAN WAHID","AIG Prisons","Address : 30/3, Umesh Datta Road, Bakshibazar. City : Dhaka Thana : Dhaka South City Corporation District : Dhaka - 1211 Country : Bangladesh","30/3, Umesh Datta Road, Bakshibazar.","Dhaka","Dhaka South City Corporation","Dhaka - 1211","02-57300514","02-57300514","17000000.00, OTM","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1319685"
"Ministry of Home Affairs","","Bangladesh Police","Office of the Superintendent of Police, Rangpur","00161","Rangpur","Goods","NCT","TENDER","Tender - Single Lot","Memo No-Rangpur-Tender/Ration/5995/E","225366","1318404","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","SPR/RATION/26-27/FIREWOOD/Q-2 Procurement of ""Firewood (Mango Wood) Dry (Chopped)"" for the Financial Year 2026-2027 (2nd Quarter) at District Police Lines Ration Store, Rangpur.","Wood, wood products, cork products, basketware and wickerwork;Sawn wood;Railway sleepers;Mining timber;Prepared softwood;Hardwood;Parquet;Prepared or treated wooden products;Sawdust;Wooden sheets and veneers;Wooden boards and panels;Densified wood;Builders wood joinery and carpentry;Builders wood joinery;Builders wood carpentry;Prefabricated wooden buildings;Wooden containers, pallets, boxes and other containers;Wooden containers;Wooden pallets;Articles of wood and cork;Products of wood and related articles;Articles of cork, basketware and wickerwork","25-Aug-2026 15:00","07-Sep-2026 17:00","The folowing documents must be submitted along with the submitted documents.Otherwise, the tender wil be considered as canceled. (1) Updated Income Tax Payment Certificate (2) VAT Registration Certificate (3) Valid Trade License of the company (4) Financial Solvency Certificate (5) National ID card with 01 copy of recent passport size photo (6) Ownership Certificate (7) Declaration/Agreement signed by a Gazetted Officer to the effect that the bidder is not blacklisted. (8) Renewed Agricultural Marketing License and relevant work experience certificate","1) Firewood/Jalani Khori (Mango Wood) Dry (Chopped) 2) As per the general and special terms and conditions of the agreement, the dry sawn firewood shal be supplied as per the sample firewood (mango wood) kept at the Rangpur Police lines Ration Store. The required dry sawn firewood shall be brought to the Rangpur Police lines Ration Store at its own cost and warehoused as per the work order. If the dry sawn firewood is not supplied as per the sample, legal action wil be taken including confiscation of money.","Lot wise","Package wise","Package wise","500","Payment through Bank","04-Jan-2027","04-Jan-2027","1","Procurement of ""Firewood (Mango Wood) Dry (Chopped)"" for the Financial Year 2026-2027 (2nd Quarter) at District Police Lines Ration
Store, Rangpur.","District Police Lines Ration Store, Rangpur","2500","01-Oct-2026","31-Dec-2026","Mohammad Muzammel Hoque","SP","Address : Office of the Superintendent of Police, Rangpur City : Rangpur Thana : Rangpur Sadar District : Rangpur - 5402 Country : Bangladesh","Office of the Superintendent of Police, Rangpur","Rangpur","Rangpur Sadar","Rangpur - 5402","0521-62131","0521-63434","93600.00, OTM","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1318404"
"Ministry of Education","Secondary and Higher Education Division","National Curriculum and textbook Board (NCTB)","Member (Textbook), NCTB","","Dhaka","Goods","NCT","TENDER","Tender - Single Lot","37.06.0000.303.07.002.26.1873","225442","1323201","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","2027.GD.SEC.6.602 For Printing (with paper), Binding and Supplying  of textbooks of Secondary (Bangla & English Version), Dakhil, and Technical Class-6 to be  distributed free of cost for the Academic Year 2027.","Various types of printed matter and articles for printing; Printing, publishing and related services;Printed books, brochures and leaflets;Printed books;Publications;Directories;Leaflets;Brochures;Booklets;Newspapers, journals, periodicals and magazines;Newspapers;Postcards, greeting cards and other printed matter;Postcards;Greeting cards;Stamps, cheque forms, banknotes, stock certificates, trade advertising material, catalogues and manuals;Stamps;Stamp-impressed paper;Banknotes;Cheque forms;Security-type printed matter;Trade-advertising material, commercial catalogues and manuals;Manuals;Printing plates or cylinders or other media for use in printing;Offset plates;Dry-etching equipment;Paper or paperboard registers, account books, binders, forms and other articles of printed stationery;Paper or paperboard registers;Forms;Exercise books;Albums for samples;Binders and related accessories;Printed stationery except forms;Miscellaneous printed matter;Car-tax discs;Driving licences;ID cards;Permits;Entrance cards;Bespoke printed matter;Tickets;Printing services;Printing services for books;Printing services for stationery;Printing services for security printed matter;Printing services for forms;Printing services for tickets;Printing services for calendars;Printing services for timetables;Newspaper printing services;Printing services for posters;Services related to printing;Print finishing services;Composition services;Printing and delivery services;Printing and distribution services;Publishing services;Bookbinding and finishing services;Subscription services","25-Aug-2026 16:00","07-Sep-2026 16:00","As Per TDS","For Printing (with paper), Binding and Supplying of textbooks of Secondary (Bangla & English Version), Dakhil, and Technical Class-6 to be distributed free of cost for the Academic Year 2027.","Lot wise","Package wise","Package wise","4000","Payment through Bank","05-Mar-2027","05-Mar-2027","602","For Printing (with paper), Binding and Supplying  of textbooks of Secondary (Bangla & English Version), Dakhil, and Technical Class-6 to be  distributed free of cost for the Academic Year 2027.","As Per Delevery Schedule","490000","06-Oct-2026","26-Nov-2026","Mohammad Abu Nasher Tuku","Member (Textbook)","Address :  69-70, Motijheel, C/A, Dhaka-1000 City : Dhaka Thana : Dhaka South City Corporation District : Dhaka - 1000 Country : Bangladesh","69-70, Motijheel, C/A, Dhaka-1000","Dhaka","Dhaka South City Corporation","Dhaka - 1000","02-9550805","","Not Found","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1323201"
"Ministry of Home Affairs","","Bangladesh Ansar & Village Defence Party","Provision Branch","","Dhaka","Goods","NCT","TENDER","Tender - Single Lot","44.03.0000.017.07.052.2026","226299","1323163","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","ET-Pro-2026-Furniture-01-A The Procurement of Steel Almirah.","Manufactured goods, furniture, handicrafts, special-purpose products and associated consumables; Furniture; Jewellery and related articles; Musical instruments and parts; Sports goods and equipment; Games and toys; fairground amusements; Miscellaneous manufactured and other goods; Consumables and consumer goods; Handicraft and art supplies; Special-purpose product;Seats, chairs and associated parts;Non-domestic furniture;Domestic furniture;Miscellaneous furniture and equipment;School furniture;Coins and medals;Articles of jewellery;Musical instruments;Parts and accessories of musical instruments;Outdoor sports equipment;Gymnasium equipment;Dolls;Toys;Articles for funfair, table or parlour games;Laundry supplies;School slates or boards with writing or drawing surfaces;Artificial products;Apparatus and equipment designed for demonstrational purposes;Umbrellas and sunshades; walking sticks and seat sticks;Funeral supplies;Kitchen equipment, household items and catering supplies;Barracks supplies;Consumables;Tax-free goods;Disposable goods;Handicraft supplies;Art supplies;Police equipment;Recycled products;Security devices;Animal ear tags;Compost boxes;Tokens;Spray booths;Snow poles","25-Aug-2026 15:55","06-Sep-2026 16:00","All the tenderer must follow the PPR-2025 rules & regulation. The Tenderer shall have a minimum 3(two) years of overall experience in the supply of goods & related items. The Tenderer shall have a minimum 1(one) year of specific experience in the supply of similar goods and related services. The minimum supply value of similar goods under a single contract in the last five years is Tk. 44 Lac by the tenderer. The minimum amount of liquid assets i.e. working capital or credit line(s), net of other contractual commitments is Tk. 50 Lac. Sample of 01 piece must be submitted to the PE Office as per approved sample on or before the tender opening date and time. The Supplier should either be a manufacturer, producing not less than 1700 piece per year or would have to furnish a certificate from the manufacturer that his firm’s production is not less than 1700 piece per year. Certificate should shown in every case. Note: Lab test (pre and post) fee has to be paid by the tenderer. Test fee must be submitted to the PE Office before the tender opening date and time. Otherwise, the tender will be considered non-responsive. PE reserves the right to define the test criteria.","The Procurement of Steel Almirah.","Lot wise","Package wise","Package wise","2500","Payment through Bank","04-Dec-2026","04-Dec-2026","1","The Procurement of Steel Almirah.","central store ansar and vdp academy shafipur gazipur","150000","13-Sep-2026","12-Nov-2026","MD. ASHRAFUL ISLAM","Director (Admin-Q)","Address : Ansar & VDP HQ, Khilgaon, Dhaka City : Dhaka Thana : Dhaka South City Corporation District : Dhaka - 1219 Country : Bangladesh","Ansar & VDP HQ, Khilgaon, Dhaka","Dhaka","Dhaka South City Corporation","Dhaka - 1219","02-55120967","","6300000.00, OTM","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1323163"
"Ministry of Education","Secondary and Higher Education Division","National Curriculum and textbook Board (NCTB)","Member (Textbook), NCTB","","Dhaka","Goods","NCT","TENDER","Tender - Single Lot","37.06.0000.303.07.005.26.1878","225442","1323226","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","2027.GD.SEC.7.713 For Printing (with paper), Binding and Supplying  of textbooks of Secondary (Bangla & English Version), Dakhil and Technical Class-7  to be  distributed free of cost for the Academic Year 2027","Various types of printed matter and articles for printing; Printing, publishing and related services;Printed books, brochures and leaflets;Printed books;Publications;Directories;Leaflets;Brochures;Booklets;Newspapers, journals, periodicals and magazines;Newspapers;Postcards, greeting cards and other printed matter;Postcards;Greeting cards;Stamps, cheque forms, banknotes, stock certificates, trade advertising material, catalogues and manuals;Stamps;Stamp-impressed paper;Banknotes;Cheque forms;Security-type printed matter;Trade-advertising material, commercial catalogues and manuals;Manuals;Printing plates or cylinders or other media for use in printing;Offset plates;Dry-etching equipment;Paper or paperboard registers, account books, binders, forms and other articles of printed stationery;Paper or paperboard registers;Forms;Exercise books;Albums for samples;Binders and related accessories;Printed stationery except forms;Miscellaneous printed matter;Car-tax discs;Driving licences;ID cards;Permits;Entrance cards;Bespoke printed matter;Tickets;Printing services;Printing services for books;Printing services for stationery;Printing services for security printed matter;Printing services for forms;Printing services for tickets;Printing services for calendars;Printing services for timetables;Newspaper printing services;Printing services for posters;Services related to printing;Print finishing services;Composition services;Printing and delivery services;Printing and distribution services;Publishing services;Bookbinding and finishing services;Subscription services","25-Aug-2026 16:21","07-Sep-2026 17:00","As per TDS","For Printing (with paper), Binding and Supplying of textbooks of Secondary (Bangla & English Version), Dakhil, and Technical Class-7 to be distributed free of cost for the Academic Year 2027.","Lot wise","Package wise","Package wise","4000","Payment through Bank","05-Mar-2027","05-Mar-2027","713","For Printing (with paper), Binding and Supplying  of textbooks of Secondary (Bangla & English Version), Dakhil and Technical Class-7  to be  distributed free of cost for the Academic Year 2027","As per Delivery Schedule","580000","06-Oct-2026","26-Nov-2026","Mohammad Abu Nasher Tuku","Member (Textbook)","Address :  69-70, Motijheel, C/A, Dhaka-1000 City : Dhaka Thana : Dhaka South City Corporation District : Dhaka - 1000 Country : Bangladesh","69-70, Motijheel, C/A, Dhaka-1000","Dhaka","Dhaka South City Corporation","Dhaka - 1000","02-9550805","","21938555.00, OTM","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1323226"
"Ministry of Agriculture","","Bangladesh Rice Research Institute","BRRI Procurement Cell","","Gazipur","Goods","NCT","TENDER","Tender - Single Lot","12.22.0000.000.034.24.0002.19.20","229412","1323495","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","12.22.0000.000.034.24.0002.19.20 Printing of BRRI Annual Report 2025-2026","Various types of printed matter and articles for printing;Printed books, brochures and leaflets;Printed books;Publications;Directories;Leaflets;Brochures;Booklets;Newspapers, journals, periodicals and magazines;Newspapers;Postcards, greeting cards and other printed matter;Postcards;Greeting cards;Stamps, cheque forms, banknotes, stock certificates, trade advertising material, catalogues and manuals;Stamps;Stamp-impressed paper;Banknotes;Cheque forms;Security-type printed matter;Trade-advertising material, commercial catalogues and manuals;Manuals;Printing plates or cylinders or other media for use in printing;Offset plates;Dry-etching equipment;Paper or paperboard registers, account books, binders, forms and other articles of printed stationery;Paper or paperboard registers;Forms;Exercise books;Albums for samples;Binders and related accessories;Printed stationery except forms;Miscellaneous printed matter;Car-tax discs;Driving licences;ID cards;Permits;Entrance cards;Bespoke printed matter;Tickets","25-Aug-2026 15:30","13-Sep-2026 14:40","Will have latest documents related to 1. Update and Valid Trade license (Trade License & Business Type must be Related); 2. Value Added Tax (VAT)/BIN Registration Certificate; 3. TIN Certificate with Update Tax Payer Certificate; 4. General supply experience Certificate/Document in Govt. Organization. 5. Relevant/Similar & Specific Experience of Supply of goods amount BDT 1.4 lakh in one contract last 3 years 6. Sufficient liquid assets/financial solvency Certificate/credit line facilities (use CPTU prescribed format).","Printing of BRRI Annual Report 2025-2026","Lot wise","Package wise","Package wise","500","Payment through Bank","08-Feb-2027","08-Feb-2027","1","Printing of BRRI Annual Report 2025-2026","at BRRI HQ Gazipur","5500","17-Sep-2026","30-Jun-2027","Muhammad Aminur Rashid","Assistant Director(Procurement)","Address : BRRI Gazipur 1701. City : Gazipur Thana : Gazipur Sadar District : Gazipur - 1701 Country : Bangladesh","BRRI Gazipur 1701.","Gazipur","Gazipur Sadar","Gazipur - 1701","02-9264059","","210000.00, OTM","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1323495"
"Ministry of Road Transport and Bridges","Road Transport and Highways Division","Roads & Highways Department (RHD)","Sariatpur Road Division","sari001","Shariatpur","Works","NCT","TENDER","Tender - Single Lot","e-GP-04/EE/SRD of 2026-2027.","229289","1321135","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","e-GP-04/EE/SRD of 2026-2027. Pavement Maintenance work by Base Type-I & 40mm DBS (Wearing Course) of Shariatpur-Janjira-Kawrakandi (Khathalbari) (R-863) at 11th (P) & 12th (P) km Road under Shariatpur Road Division, during the year-2026-2027.","Repair, maintenance and associated services related to roads and other equipment; Repair, maintenance and associated services related to aircraft, railways, roads and marine equipment;","25-Aug-2026 18:00","09-Sep-2026 16:00","Any person or firm having enlistment in the e-GP system of BPPA and complying with the requirement of TDS are eligible to participate in the tender.","Pavement Maintenance work by Base Type-I & 40mm DBS (Wearing Course) of Shariatpur-Janjira-Kawrakandi (Khathalbari) (R-863) at 11th (P) & 12th (P) km Road under Shariatpur Road Division.","Lot wise","Package wise","Package wise","2500","Payment through Bank","05-Feb-2027","05-Feb-2027","01","Pavement Maintenance work by Base Type-I & 40mm DBS (Wearing Course) of Shariatpur-Janjira-Kawrakandi (Khathalbari) (R-863) at 11th (P) & 12th (P) km Road under Shariatpur Road Division, during the year-2026-2027.","Shariatpur-Janjira-Kawrakandi Khathalbari R-863","200000","01-Oct-2026","30-Nov-2026","Sheikh Nabil Hossain","Executive Engineer","Address : Sariatpur Road Division, Sarak Bhaban, Sariatpur City : Sariatpur Thana : Shariatpur Sadar District : Shariatpur - 0000 Country : Bangladesh","Sariatpur Road Division, Sarak Bhaban, Sariatpur","Sariatpur","Shariatpur Sadar","Shariatpur - 0000","0601-55406","","Not Found","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1321135"
"Ministry of Agriculture","","Barind Multipurpose Development Authority (BMDA)","Planning Section, BMDA, Head Office, Rajshahi","","Rajshahi","Services","NCT","REOI","","","227471","1323229","Selection under a Fixed Budget (SFB)","Own Fund","Own Fund","Not applicable","Not applicable","BMDA/Plan/Service-001/2026-27 Feasibility Study for the Integrated Agricultural Development in Rajshahi and Rangpur division.","Research and development services and related consultancy services.; Research and experimental development services; Research and development consultancy services; Design and execution of research and development;Research services;Experimental development services;Research consultancy services;Development consultancy services","25-Aug-2026 17:00","","1. Tenderer shall have update trade license, VAT/BIN Certificate upto 2024-25, Up to date TAX clearence Certificate upto 2024-25. 2. The consulting firm/JV firm(s) must have at least 10 (ten) years of experience in feasibility study, integrated water resources management, hydrological and hydrogeological study, mathematical modelling, irrigation planning, and agricultural development projects. 3. The Consulting Firm must have permanent and skilled professionals for Team Leader, Senior Groundwater Management Expert, Hydrogeologist, Senior Hydrologist, Surface Water Management Expert, Senior Irrigation Engineer, Agriculturist, GIS and Remote Sensing Specialist, Agricultural Mechanization specialist, Agricultural Economies, IOT and Database Management specialist, Design Engineer, Data Analyst, Economist, Water Resources Modeling Specialist, Solar Energy Specialist,  and other professionals as mentioned in the ToR. 4. The firm(s) must have successfully completed at least 10 similar projects, including at least 6 projects for Government of Bangladesh (GoB) among them at least 2 (two) projects in Barind region. 5. Among the completion experience certificate must have one contract value of at least BDT 1 (one) crore. 6. Must have audit report for the previous 03 (three) years and the audit report must reflect the average yearly turnover of the firm at least BDT 3 (three) crore. 7. Must have minimum BDT 1 (one) crore as liquid assets (certificate or proof on availability of liquid assets or fund availability, must be issued 03 (three) months from the date of EOI submission by the concern authority) 8. Interested firms(s) may form Joint Venture, Consortium or Association (JVCA) with other local firms to enhance their qualification and experience","Feasibility Study for the Integrated Irrigation and Agricultural Development Project in Barind Region.","Package wise","","","","","","","","","All upazilla's of Rajshahi & Rangpur Division","","25-Oct-2026","18-Feb-2027","Md. Abdul Latif","Superintending Engineer","Address : BMDA, Head Office, Rajshahi City : Rajshahi Thana : Rajshahi City Corporation District : Rajshahi - 6000 Country : Bangladesh","BMDA, Head Office, Rajshahi","Rajshahi","Rajshahi City Corporation","Rajshahi - 6000","0721-761754","","Not Found","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1323229"
"Ministry of Home Affairs","","Bangladesh Police","Logistics Division, Dhaka Metropolitan Police, Dhaka","10003","Dhaka","Goods","NCT","TENDER","Tender - Single Lot","02/DMP/Logistics/RS/2026-2027/02","224308","1323639","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","02/DMP/Logistics/RS/2026-2027/02 Edible Oil","Food products and beverages;Animal products, meat and meat products;Meat;Animal wool, hides and skins;Meat products;Prepared and preserved fish;Fish fillets, fish livers and roe;Frozen fish, fish fillets and other fish meat;Dried or salted fish; fish in brine; smoked fish;Canned or tinned fish and other prepared or preserved fish;Seafood;Fruit, vegetables and related products;Potatoes and potato products;Fruit and vegetable juices;Fruit and vegetables;Animal or vegetable oils and fats;Crude animal or vegetable oils and fats;Refined oils and fats;Edible fats;Dairy products;Milk and cream;Butter;Cheese products;Assorted dairy products;Grain mill products, starches and starch products;Grain mill products;Starches and starch products;Animal feedstuffs;Prepared animal feeds for farm and other animals;Miscellaneous food products;Bread products, fresh pastry goods and cakes;Rusks and biscuits; preserved pastry goods and cakes;Sugar and related products;Cocoa; chocolate and sugar confectionery;Pasta products;Coffee, tea and related products;Condiments and seasonings;Special nutritional products;Miscellaneous food products n.e.c. and dried goods;Beverages;Distilled alcoholic beverages;Wines;Cider and other fruit wines;Non-distilled fermented beverages;Malt beer;Non-alcoholic beverages","25-Aug-2026 17:00","08-Sep-2026 17:00","(i) Copies of valid Trade license for 2025-2026 fiscal year. (ii) Bank solvency certificate. (iii) Income tax clearance certificate (2024-2025) (iv) Up to date VAT registration certificate & TIN Certificate. (v) Manufacturer Authorization Letter. (vi) 80% Liquid Asset of total price according to Form-8 of PG-3. (vii) National ID Card with one copy PP size color Photograph. (viii) Three years Experiences Certificate similar works. ** Tenderer must be submited 2 Liter Sample on opening date before opening time.","Edible Oil","Lot wise","Package wise","Package wise","5000","Payment through Bank","04-Feb-2027","04-Feb-2027","02","Edible Oil","Logistics Division, Dhaka Metropolitan Police, Dhaka","4500000","15-Sep-2026","30-Sep-2026","MD. RABIUL HASAN","Deputy Police Commissioner","Address : Logistics Division, Dhaka Metropolitan Police, Dhaka City : Dhaka Thana : Dhaka South City Corporation District : Dhaka - 1000 Country : Bangladesh","Logistics Division, Dhaka Metropolitan Police, Dhaka","Dhaka","Dhaka South City Corporation","Dhaka - 1000","02-9338592","","Not Found","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1323639"
"Ministry of Road Transport and Bridges","Road Transport and Highways Division","Roads & Highways Department (RHD)","Panchagarh Road Division","pan001","Panchagarh","Works","NCT","TENDER","Tender - Single Lot","e-GP-01/OTM/EE/PRD/PMP-Major- Road/2026-2027","230191","1318789","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","e-GP-01/OTM/EE/PRD/PMP-Major- Road/2026-2027 Periodic Maintenance by DBS Surfacing work at Ch:454+765(satkhamar) to 460+180 km(Monnapara) of Dhaka(Mirpur)-Utholi-Paturia-Notakhola-Kashinathpur-Bogura-Rangpur-Beldanga-Banglabandha(N-5) (Panchagarh portion) Road under Road Division Panchagarh during the year 2026-2027.","Engineering works and construction works; Works for complete or part construction and civil engineering work;","25-Aug-2026 16:00","20-Sep-2026 17:00","As Per TDS & ITT.","Periodic Maintenance by DBS Surfacing work at Ch:454+765(satkhamar) to 460+180 km(Monnapara) of Dhaka(Mirpur)-Utholi-Paturia-Notakhola-Kashinathpur-Bogura-Rangpur-Beldanga-Banglabandha(N-5) (Panchagarh portion) Road under Road Division Panchagarh during the year 2026-2027.","Lot wise","Package wise","Package wise","5000","Payment through Bank","16-Feb-2027","16-Feb-2027","01","Periodic Maintenance by DBS Surfacing work at Ch:454+765(satkhamar) to 460+180 km(Monnapara) of Dhaka(Mirpur)-Utholi-Paturia-Notakhola-Kashinathpur-Bogura-Rangpur-Beldanga-Banglabandha(N-5) (Panchagarh portion) Road under Road Division Panchagarh during the year 2026-2027","At 455th P Km to 461th P km N 5 Road","5000000","15-Nov-2026","12-Aug-2027","Partha Sarkar","Executive Engineer","Address : Panchagarh Road Division, Sarak Bhaban, Panchagarh City : Panchagarh Thana : Sadar District : Panchagarh - 0000 Country : Bangladesh","Panchagarh Road Division, Sarak Bhaban, Panchagarh","Panchagarh","Sadar","Panchagarh - 0000","0568-61205","","Not Found","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1318789"
