Ministry,Division,Organization,Procuring Entity Name,Procuring Entity Code,Procuring Entity District,Procurement Nature,Procurement Type,Event Type,Invitation for ,Invitation Reference No.,App ID,Tender/Proposal ID,Procurement Method ,Budget Type,Source of Funds,Project Code,Project Name,Tender/Proposal Package No. and Description,Category,Scheduled Tender/Proposal Publication Date and Time,Tender/Proposal Document last selling / downloading Date and Time,Eligibility of Tenderer,Brief Description of Works,Evaluation Type,Document Available,Document Fees,Tender/Proposal Document Price (In BDT) ,Mode of Payment,Tender/Proposal Security Valid Up to,Tender/Proposal Valid Up to,Lot No.,Identification of Lot,Location,Tender/Proposal security(Amount in BDT),Tentative Start Date,Tentative Completion Date,Name of Official Inviting Tender/Proposal,Designation of Official Inviting Tender/Proposal,Address of Official Inviting Tender/Proposal,Address,City,Thana,District,Phone No,Estimated Cost,Tender Link
Ministry of Local Government,Rural Development and Co-operatives,Local Government Engineering Department (LGED),"Office of the Upazila Engineer, LGED, Santhia, Pabna",,Pabna,Works,NCT,TENDER,Tender - Single Lot,APP No: 228015,228015,1311353,Open Tendering Method (OTM),Development,Government,224398900,Construction of Union Parishad Complex Bhaban Project (Phase-3),"e-GP/UPCBP/PAB/SANTHIA/2026/W039 Construction of Khetupara Union Parishad Complex Bhaban, Under Upazila Santhia, Dist: Pabna","Construction work;Site preparation work;Building demolition and wrecking work and earthmoving work;Test drilling and boring work;Works for complete or part construction and civil engineering work;Building construction work;Engineering works and construction works;Construction work for pipelines, communication and power lines, for highways, roads, airfields and railways; flatwork;Construction work for water projects;Construction works for plants, mining and manufacturing and for buildings relating to the oil and gas industry;Roof works and other special trade construction works;Building installation work;Electrical installation work;Insulation work;Plumbing and sanitary works;Fencing, railing and safety equipment installation work;Mechanical installations;Building completion work;Plastering work;Joinery and carpentry installation work;Floor and wall covering work;Painting and glazing work;Other building completion work;Hire of construction and civil engineering machinery and equipment with operator;Hire of cranes with operator;Hire of earthmoving equipment with operator",02-Aug-2026 12:00,16-Aug-2026 17:00,Stated in TDS,"e-GP/UPCBP/PAB/SANTHIA/2026/W039 Construction of Khetupara Union Parishad Complex Bhaban, Under Upazila Santhia, Dist: Pabna",Lot wise,Package wise,Package wise,4000,Payment through Bank,13-Dec-2026,13-Dec-2026,1,"Construction of Khetupara Union Parishad Complex Bhaban, Under Upazila Santhia, Dist: Pabna","Santhia, Pabna",920000,01-Sep-2026,20-Feb-2028,Md. Jahorul Islam,Upazila Engineer,"Address : Santhia Upazila Parishad, Santhia City : Santhia Thana : Santhia District : Pabna - 6670 Country : Bangladesh","Santhia Upazila Parishad, Santhia",Santhia,Santhia,Pabna - 6670,07327-56135,,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1311353
Ministry of Local Government,Rural Development and Co-operatives,Chittagong Water Supply & Sewerage Authority,MOD-3,MOD-3,Chattogram,Works,NCT,TENDER,Tender - Single Lot,46.06.0000.310.02.036.25,213537,1267297,Open Tendering Method (OTM),Revenue,Government,Not applicable,Not applicable,"46.06.0000.310.02.036.25 Estimate for Alignment change works of 300 mm diameter distribution pipeline due to canal excavation works                 ( Bahaddarhat baroipara to karnafully river) project by Chittagong City Corporation at Shah Amanat Bridge                Connecting Road, Bahaddarhat One Kilometer under MOD-3, CWASA, Ctg.",Water distribution; Water distribution and related services;,02-Aug-2026 12:00,16-Aug-2026 14:00,The Tenderer Shall  have Successfully completed  similar works under any govt./semi govt./autonomous organization of minimum 10.00 lakh taka under maximum 2 (two) contracts within the last 03 (Three) years. (Counting backward from the IFT publish date).,"Alignment change works of 300 mm diameter distribution pipeline due to canal excavation works ( Bahaddarhat baroipara to karnafully river) project by Chittagong City Corporation at Shah Amanat Bridge Connecting Road, Bahaddarhat One Kilometer under MOD-3, CWASA, Ctg.",Lot wise,Package wise,Package wise,1000,Payment through Bank,12-Dec-2026,12-Dec-2026,1,"Alignment change works of 300 mm diameter distribution pipeline due to canal excavation works                 ( Bahaddarhat baroipara to karnafully river) project by Chittagong City Corporation at Shah Amanat Bridge                Connecting Road, Bahaddarhat One Kilometer under MOD-3, CWASA, Ctg.",Bahaddarhat One Kilometer,45000,01-Sep-2026,01-Nov-2026,Mohammed Yousuf,Executive Engineer,"Address : Kalurghat, Chattogram City : Chattogram Thana : Chattogram City Corporation District : Chattogram - 4212 Country : Bangladesh","Kalurghat, Chattogram",Chattogram,Chattogram City Corporation,Chattogram - 4212,031-637241,,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1267297
Ministry of Home Affairs,,Bangladesh Police,"APBn 8, Uttara, Dhaka",54,Dhaka,Goods,NCT,TENDER,Tender - Single Lot,Admin-Ration/1stQ.Oil/2026-27/Re-Tender,225165,1314391,Open Tendering Method (OTM),Revenue,Government,Not applicable,Not applicable,"Ration oil-Admin.1stQ/2026-27/01 Procurement of fortified Soyabean Oil for ration for the 8 APBN, Uttara, Dhaka (Temporary Headquarters, Ukhia, Cox's Bazar) (1st Quarter). FY-2026-2027 (01 July 2026 to 30 September 2026","Food products and beverages;Animal products, meat and meat products;Meat;Animal wool, hides and skins;Meat products;Prepared and preserved fish;Fish fillets, fish livers and roe;Frozen fish, fish fillets and other fish meat;Dried or salted fish; fish in brine; smoked fish;Canned or tinned fish and other prepared or preserved fish;Seafood;Fruit, vegetables and related products;Potatoes and potato products;Fruit and vegetable juices;Fruit and vegetables;Animal or vegetable oils and fats;Crude animal or vegetable oils and fats;Refined oils and fats;Edible fats;Dairy products;Milk and cream;Butter;Cheese products;Assorted dairy products;Grain mill products, starches and starch products;Grain mill products;Starches and starch products;Animal feedstuffs;Prepared animal feeds for farm and other animals;Miscellaneous food products;Bread products, fresh pastry goods and cakes;Rusks and biscuits; preserved pastry goods and cakes;Sugar and related products;Cocoa; chocolate and sugar confectionery;Pasta products;Coffee, tea and related products;Condiments and seasonings;Special nutritional products;Miscellaneous food products n.e.c. and dried goods;Beverages;Distilled alcoholic beverages;Wines;Cider and other fruit wines;Non-distilled fermented beverages;Malt beer;Non-alcoholic beverages",02-Aug-2026 12:00,09-Aug-2026 16:00,As Per Tender Data Sheet (TDS) 1. Updated copy of valid Trade License. 2. Income Tax clearance certificate and E-tin certificate. 3. A latest certified copy of bank solvency certificate according to PG3-8 Form. 4. The tender must submit a Bank statement for the last one year. 5. A certificate of ownership of the company. 6. Citizenship certificate and NID copy. 7. Similar work experience at least 3 years and overal work at least 5 years. 8. Must submit a certificate stating that you are not blacklisted.,"Supply of fortified Soyabean Oil for the 8 APBN, Uttara, Dhaka (Temporary Headquarters, Ukhia, Cox's Bazar) (1st Quarter). FY-2026-2027 (01 July 2026 to 30 September 2026.",Lot wise,Package wise,Package wise,1500,Payment through Bank,06-Nov-2026,06-Nov-2026,single Lot,"Procurement of fortified Soyabean Oil for ration for the 8 APBN, Uttara, Dhaka (Temporary Headquarters, Ukhia, Cox's Bazar) (Quarter). FY-2026-2027 (01 July 2026 to 30 September 2026",8 apbn,93500,16-Aug-2026,15-Sep-2026,REAZ UDDIN AHMMED,Commanding Officer (Addl DIG),"Address : APBn 8, Uttara, Dhaka City : Dhaka Thana : Uttara District : Dhaka - 1230 Country : Bangladesh","APBn 8, Uttara, Dhaka",Dhaka,Uttara,Dhaka - 1230,02-44890033,,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1314391
Ministry of Agriculture,,Bangladesh Sugercane Research Institute,Capacity Building and Innovation of Biorational Based Major Insect Pest Management Technology for Sugarcrops,,Pabna,Physical Services,NCT,PPS,,,229071,1313953,Open Tendering Method (OTM),Development,Government,224421100,Capacity Building and Innovation of Biorational Based Major Insect Pest Management Technology for Sugarcrops,SC-01 Procurement of Manpower Services (Total: 06 Persons) under The Project Named Capacity Building and Innovation of Biorational Based Major Insect Pest Management Technology for Sugarcrops  through Outsourcing,Miscellaneous services; Washing and dry-cleaning services; Hairdressing and beauty treatment services; Physical well-being services; Accommodation and office services; Civic-amenity services; Marine services; Funeral and related services; Miscellaneous services n.e.c.; Clearing and Forwarding Agent; Service Provider (Others);Laundry-collection services;Textile-cleaning services;Fur-products cleaning services;Colouring services;Pressing services;Dyeing services;Hairdressing services;Beauty treatment services;Turkish bath services;Spa services;Massage services;Accommodation services;Car-park management services;Aquatic marine services;Port management services;Diving services;Funeral services;Decommissioning services;Relocation services;Tailoring services;Upholstering services;Locksmith services,,12-Aug-2026 15:00,"1. Outsourcing manpower from the previous contract who worked at BSRI will be given priority in this new contract, based on their performance and other factors/qualifications. 2.Tenderers shall have the following up to date valid License a) Copy of Valid and Updated Trade License for the current fiscal year. b) Copy of VAT Registration Certificate (Business Identification Number BIN). c) Copy of Updated Income Tax Clearance Certificate for the latest assessment year. d) Copy of Tax Identification Number (TIN) Certificate e) The amount of the Tender Security shall be TK.1,50,000/-(One lakh Fifty Thousand Taka only) f) Tenderer having any debarment history in previous 5 (five) years shall be considered as non-responsive. g) The Bio-data/ CV is obligatory only for manpower to be supplied by the Contractor/Outsourcing farm. h) Up Date  (DIFE) Department of Inspection for Factories and Establishments Certificate. i) Up Date Chamber of Commerce Certificate. j) DVC Audit Report of Last 03 Years.",Procurement of Manpower Services (Total: 06 Persons) under The Project Named Capacity Building and Innovation of Biorational Based Major Insect Pest Management Technology for Sugarcrops through Outsourcing,Package wise,,Package wise,2500,Payment through Bank,09-Dec-2026,09-Dec-2026,,,BSRI Head Quarter,,01-Sep-2026,31-Dec-2030,Md. Noor Alam,Principal Scientific Officer,"Address : BSRI, Ishwardi, Pabna City : Pabna Thana : Ishwardi District : Pabna - 6620 Country : Bangladesh","BSRI, Ishwardi, Pabna",Pabna,Ishwardi,Pabna - 6620,25888-46628,,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1313953
Ministry of Civil Aviation & Tourism,,Civil Aviation Authority of Bangladesh,Office of the Executive Director (CEMSU),,Dhaka,Physical Services,NCT,PPS,,,227775,1314080,Open Tendering Method (OTM),Own Fund,Own Fund,Not applicable,Not applicable,"30.31.0000.000.121.07.0001.26.185 d-28/07/26 Service and Maintenance Agreement of Rapiscan EDS Machine (RTT-110) for 2 Years AMC at HSIA, Dhaka.","Radio, television, communication, telecommunication and related equipment and apparatus;Electronic valves, tubes and electronic components;Electrical capacitors;Electrical resistors;Printed circuits;Valves and tubes;Semiconductors;Electronic integrated circuits and microassemblies;Parts of electronic assemblies;Modules;Transmission apparatus for radiotelephony, radiotelegraphy, radio broadcasting and television;Broadcasting equipment;Television transmission apparatus without reception apparatus;Radio transmission apparatus with reception apparatus;Television cameras;Mobile telephones;Data-transmission equipment;Digital transmission apparatus;Television and radio receivers, and sound or video recording or reproducing apparatus;Radio broadcast receivers;Television and audio-visual equipment;Apparatus for sound, video-recording and reproduction;Microphones and loudspeakers;Parts of sound and video equipment;Intercom equipment;Networks;Local area network;Network equipment;Wide area network;Telemetry and terminal equipment;Telecommunications equipment and supplies;Wireless telecommunications system;Telecommunications cable and equipment;Satellite-related communications equipment;Switchboards;Telephone equipment;Fibre-optic materials;Communications equipment;Data equipment",,17-Aug-2026 11:00,"1.The tenderer shall have minimum 5 (Five) years of general experience in the supply of Goods /works/ related services.[Documented evidence shall be submitted.] 2.The minimum specific experience of Tenderer in satisfactory completion of supply of similar work related goods/ security equipment/ Electro Mechanical equipments/physical service of Similar nature at least single contract(s) successfully completed within last 5(Five) years, with a value of at least Tk. 2.5 (Two point five) crore. [Documented evidence shall be submitted.] 3.The minimum amount of financial resources as liquid asset or working capital or credit line(s) or specific credit commitment or in any combination of them, of the Tenderers shall be BDT Tk. 3.00 (Three) crore.","Service and Maintenance Agreement of Rapiscan EDS Machine (RTT-110) for 2 Years AMC at HSIA, Dhaka.",Package wise,,Package wise,4000,Payment through Bank,12-Jan-2027,12-Jan-2027,,,HSIA Cargo,,01-Oct-2026,01-Oct-2028,Md Abdul Wadud,Executive Director ( CEMSU ),"Address : CAAB,
Kurmitola, Dhaka-1229 City : Dhaka Thana : Dhaka North City Corporation District : Dhaka - 1229 Country : Bangladesh",,Dhaka,Dhaka North City Corporation,Dhaka - 1229,02-8901791,,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1314080
Ministry of Home Affairs,,Bangladesh Coast Guard Force,OFFICE OF THE ZONAL COMMANDER DHAKA ZONE,,Dhaka,Goods,NCT,TENDER,Tender - Single Lot,44.08.2680.100.08.008.26.32,225141,1313575,Open Tendering Method (OTM),Revenue,Government,Not applicable,Not applicable,"GR LOG TS-05/1 Procurement of Foam-Making Extinguisher Trolleys and Firefighting Items (Boot, Helmet, and Firefighting Suit) For The MT Pool of The Bangladesh Coast Guard, Dhaka Zone.",Basic organic chemicals; Chemicals;,02-Aug-2026 12:00,12-Aug-2026 16:00,As Per TDS,"Procurement of Foam-Making Extinguisher Trolleys and Firefighting Items (Boot, Helmet, and Firefighting Suit) For The MT Pool of The Bangladesh Coast Guard, Dhaka Zone.",Lot wise,Package wise,Package wise,1000,Payment through Bank,08-Jan-2027,08-Jan-2027,1,"Procurement of Foam-Making Extinguisher Trolleys and Firefighting Items (Boot, Helmet, and Firefighting Suit) For The MT Pool of The Bangladesh Coast Guard, Dhaka Zone.",Coast Guard Headquarter,46980,25-Aug-2026,30-Sep-2026,MD. IMTIAZ HOSSAIN,Zonal Commander Dhaka,"Address : কোস্ট গার্ড সদর দপ্তর
ব্লক-ই, প্লট-১২বি,
আগারগাঁও, শের-ই-বাংলা নগর,
প্রশাসনিক এলাকা, ঢাকা-১২০৭ City : Dhaka Thana : Dhaka North City Corporation District : Dhaka - 1207 Country : Bangladesh",,Dhaka,Dhaka North City Corporation,Dhaka - 1207,02-41025611,,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1313575
Ministry of Local Government,Rural Development and Co-operatives,Gazipur City Corporation,PIU(Mech) Gazipur city corporation.,,Gazipur,Goods,NCT,TENDER,Tender - Single Lot,46.19.0000.023.07.26-3088;     Date-30/07/2026,227789,1314129,Open Tendering Method (OTM),Own Fund,Own Fund,Not applicable,Not applicable,GCC/Mech./26-27/P-03 Supply of Jersey for Kindergarten/KG School Students Across 57 Wards under Gazipur City Corporation.,"Clothing and accessories;Occupational clothing, special workwear and accessories;Occupational clothing;Special workwear;Workwear accessories;Outerwear;Coats;Weatherproof clothing;Miscellaneous outerwear;Garments;Underwear;Shirts and nightwear;T-shirts;Special clothing and accessories;Special clothing;Clothing accessories;Hats and headgear;Fasteners;Leather clothes;Leather clothing accessories;Furs and articles of fur;Fur articles;Furs;Second-hand clothing",02-Aug-2026 12:00,13-Aug-2026 11:00,"1.The minimum numbers of years of general experience of the Tenderer in the Supply works as Prime Contractor or Subcontractor or Management Contractor shall be 5 years. All necessary papers about all Work shall be submitted along with tender. 2. The minimum specific experience as a Prime Contractor or Subcontractor or Management Contractor in Jersey Supply works of at least 1 (one) contract of similar nature , complexity and technology successfully completed within the last 5 (years), with a value of at least Tk- 29,50,000.00 BDT 3. The minimum amount of credit facilities/liquid Asset of the tenderer shall be Tk- 40,00,00.000 BDT 4. The Tenderer shall submit with its Tender the following additional documents: i) Valid Trade License. ii) Vat Registration. iii) TIN Number. iv) Nationality Certificate. v) Business Address. vi) Specific Experience. 5. Tenderer will be selected as non-responsive/debar for submission of any fake documents",GCC/Mech./26-27/P-03 Supply of Jersey for Kindergarten/KG School Students Across 57 Wards under Gazipur City Corporation.,Lot wise,Package wise,Package wise,2500,Payment through Bank,08-Jan-2027,08-Jan-2027,Single,Supply of Jersey for Kindergarten/KG School Students Across 57 Wards under Gazipur City Corporation.,Gazipur City Corporation,163000,20-Aug-2026,19-Oct-2026,MD. AKRAM HOSSAIN KHAN,Executive Engineer,"Address : Executive Engineer(Mech.), Nagar  Bhabon,  Gazipur  Citycorporation, Gazipur. City : Gazipur city corporation Thana : Gazipur City Corporation District : Gazipur - 1700 Country : Bangladesh","Executive Engineer(Mech.), Nagar  Bhabon,  Gazipur  Citycorporation, Gazipur.",Gazipur city corporation,Gazipur City Corporation,Gazipur - 1700,02-49273205,,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1314129
Ministry of Local Government,Rural Development and Co-operatives,Chittagong City Corporation,"Office of Superintending Engineer (Civil), Zone-5",,Chattogram,Works,NCT,TENDER,Tender - Single Lot,SE3/zone5/2025-26/W-14,226805,1314087,Open Tendering Method (OTM),Revenue,Government,Not applicable,Not applicable,"SE3/zone5/2025-26/W-14 Repairing of road cutting at G block AC masjid road, H block 1 no road, I block 10 no road and 12 no lane, Abdul motaleb contractor road and Anandadhara residential road at 25 no ward","Construction work;Site preparation work;Building demolition and wrecking work and earthmoving work;Test drilling and boring work;Works for complete or part construction and civil engineering work;Building construction work;Engineering works and construction works;Construction work for pipelines, communication and power lines, for highways, roads, airfields and railways; flatwork;Construction work for water projects;Construction works for plants, mining and manufacturing and for buildings relating to the oil and gas industry;Roof works and other special trade construction works;Building installation work;Electrical installation work;Insulation work;Plumbing and sanitary works;Fencing, railing and safety equipment installation work;Mechanical installations;Building completion work;Plastering work;Joinery and carpentry installation work;Floor and wall covering work;Painting and glazing work;Other building completion work;Hire of construction and civil engineering machinery and equipment with operator;Hire of cranes with operator;Hire of earthmoving equipment with operator",02-Aug-2026 11:10,11-Aug-2026 14:00,As per TDS,"Repairing of road cutting at G block AC masjid road, H block 1 no road, I block 10 no road and 12 no lane, Abdul motaleb contractor road and Anandadhara residential road at 25 no ward",Lot wise,Package wise,Package wise,2500,Payment through Bank,08-Dec-2026,08-Dec-2026,single,"Repairing of road cutting at G block AC masjid road, H block 1 no road, I block 10 no road and 12 no lane, Abdul motaleb contractor road and Anandadhara residential road at 25 no ward",25 no ward,200000,01-Sep-2026,31-Dec-2026,Abu Sadat Mohammad Tayab,Superintending Engineer (A.C),Address : Nagar Bhaban Tiger pass Chittagong City : Chattogram Thana : Chattogram City Corporation District : Chattogram - 4000 Country : Bangladesh,Nagar Bhaban Tiger pass Chittagong,Chattogram,Chattogram City Corporation,Chattogram - 4000,02-333388818,,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1314087
Ministry of Health and Family Welfare,,Bangladesh Medical University,"Office of Executive  Engineer (Electrical), BMU, Dhaka.",,Dhaka,Goods,NCT,TENDER,Tender - Single Lot,e-tender/bmu/elect./2026-27/03,226504,1312045,Open Tendering Method (OTM),Revenue,Government,Not applicable,Not applicable,"e-tender/bmu/elect./2026-27/03 Replacement & repair of existing damaged unserviceable components of Escalator at Shaheed Abu Sayed International Convention Hall, BMU, Shahbag, Dhaka-1000","Electrical machinery, apparatus, equipment and consumables;Electric motors, generators and transformers;Electric motors;Generators;Alternators;Cooling towers;Ballasts for discharge lamps or tubes;Parts of electric motors, generators and transformers;Transformers;Electricity distribution and control apparatus;Electrical apparatus for switching or protecting electrical circuits;Electrical circuit components;Parts of electricity distribution or control apparatus;Insulated wire and cable;Mains;Power distribution cables;Coaxial cable;Insulated cable accessories;Electric conductors for data and control purposes;Accumulators, primary cells and primary batteries;Primary cells;Primary batteries;Electric accumulators;Lighting equipment and electric lamps;Electric filament lamps;Lamps and light fittings;Parts of lamps and lighting equipment;Electrical equipment and apparatus;Electrical equipment for engines and vehicles;Sound or visual signalling apparatus;Magnets;Machines and apparatus with individual functions;Insulating fittings;Carbon electrodes;Electrical parts of machinery or apparatus;Electrical supplies and accessories;Electronic, electromechanical and electrotechnical supplies;Electronic equipment;Electromechanical equipment;Electrotechnical equipment",02-Aug-2026 11:00,13-Aug-2026 11:00,"1. Having experience in successful completion of Maintenance ,repair & servicing or spare parts supply & installation of United/SRH brand Escalator in a single tender amounting to Tk. 1,60,000.00 (One lac sixty thousand) only under Govt./Semi-Govt./Autonomous bodies/Private Organization within last 05(five) years (The years counting backward from the date of invitation of tender). The certifying authority for that work completion shall be an officer not below the rank of Executive Engineer . 2. The minimum amount of liquid asset or working capital or Letter of Commitment for Bank’s Undertaking for Line of Credit of Tender and Contract Forms must be submitted for this purpose of the successful Tenderer shall not be less than Tk.2,00,000.00 (Two lac ) Only. The supporting Bank document submitted along with the tender must be issued in between publication date and submission date of this Tender. 3. Contractor/Firm must have up to date ABC/BC category contractor and supervisory license from electricity licensing board, Government of the People ’s Republic of Bangladesh. 4. Up to date income tax clearance certificate mentioning TIN. 5. VAT Registration certificate. 6. Up to date renewed Trade License. 7. Other required eligibility criteria & condition as mentioned in tender document. 8. NID Copy","Replacement & repair of existing damaged unserviceable components of Escalator at Shaheed Abu Sayed International Convention Hall, BMU, Shahbag, Dhaka-1000",Lot wise,Package wise,Package wise,500,Payment through Bank,07-Feb-2027,07-Feb-2027,1,"Replacement & repair of existing damaged unserviceable components of Escalator at Shaheed Abu Sayed International Convention Hall, BMU, Shahbag, Dhaka-1000",Bangladesh Medical University,6000,01-Sep-2026,15-Sep-2026,Md. Shahid  Akter,Executive Engr. (Elect.),"Address : BMU, Shahabag, Dhaka. City : Shahabag Thana : Dhaka South City Corporation District : Dhaka - 1000 Country : Bangladesh","BMU, Shahabag, Dhaka.",Shahabag,Dhaka South City Corporation,Dhaka - 1000,02-9666002,,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1312045
Ministry of Health and Family Welfare,,Bangladesh Medical University,"Office of Executive  Engineer (Electrical), BMU, Dhaka.",,Dhaka,Goods,NCT,TENDER,Tender - Single Lot,e-tender/bmu/elect./2026-27/02,226504,1312042,Open Tendering Method (OTM),Revenue,Government,Not applicable,Not applicable,"e-tender/bmu/elect./2026-27/02 Supply, installation, testing & commissioning of 04 nos. Split type Air-cooler and related works for Neonatal Intensive Care Unit (NICU) at Block- C (1st floor), Bangladesh Medical University, Shahbag, Dhaka-1000","Electrical machinery, apparatus, equipment and consumables;Electric motors, generators and transformers;Electric motors;Generators;Alternators;Cooling towers;Ballasts for discharge lamps or tubes;Parts of electric motors, generators and transformers;Transformers;Electricity distribution and control apparatus;Electrical apparatus for switching or protecting electrical circuits;Electrical circuit components;Parts of electricity distribution or control apparatus;Insulated wire and cable;Mains;Power distribution cables;Coaxial cable;Insulated cable accessories;Electric conductors for data and control purposes;Accumulators, primary cells and primary batteries;Primary cells;Primary batteries;Electric accumulators;Lighting equipment and electric lamps;Electric filament lamps;Lamps and light fittings;Parts of lamps and lighting equipment;Electrical equipment and apparatus;Electrical equipment for engines and vehicles;Sound or visual signalling apparatus;Magnets;Machines and apparatus with individual functions;Insulating fittings;Carbon electrodes;Electrical parts of machinery or apparatus;Electrical supplies and accessories;Electronic, electromechanical and electrotechnical supplies;Electronic equipment;Electromechanical equipment;Electrotechnical equipment",02-Aug-2026 11:00,13-Aug-2026 11:00,"The Tenderer shall submit with its Tender the following additional documents: 1. Having experience in successful completion of similar nature of works in a single tender amounting to Tk.6,00,000.00 (Six lac) Only in a single Tender during last five years [the years counting backward from the date of invitation of this tender (IFT)] under any Government/Semi Govt./Autonomous Bodies.The certifying authority for that work completion shall be an officer not below the rank of Executive Engineer as per attached Form with Tender document. 2. The minimum amount of liquid asset or working capital or Letter of Commitment for Bank’s Undertaking for Line of Credit (as per Form e-PG-7) of Tender and Contract Forms must be submitted for this purpose of the successful Tenderer shall not be less than Tk.7,50,000.00 (Seven lac fifty thousand) Only. The supporting Bank document submitted along with the tender must be issued in between publication date and submission date of this Tender. 3.The minimum of years of general experience of the Tenderer in the supply of Goods and related services as Supplier shall be 02 (two) years. 4. The Tenderer/ Bidder shall mention the Brand, Model, Country of manufactured or assembled of proposed Air-cooler. 5. Catalogue of proposed Air-cooler should be submitted along with the Tender. 6. Contractor/Firm must have up to date ABC/BC category contractor and supervisory license from electricity licensing board, Government of the peoples Republic of Bangladesh. 7.Up to date income tax clearance certificate mentioning TIN. 8. VAT Registration certificate . 9. Up to date renewed Trade License. 11. Other required eligibility criteria & condition as mentioned in tender document.","Supply, installation, testing & commissioning of 04 nos. Split type Air-cooler and related works for Neonatal Intensive Care Unit (NICU) at Block- C (1st floor), Bangladesh Medical University, Shahbag, Dhaka-1000",Lot wise,Package wise,Package wise,500,Payment through Bank,07-Feb-2027,07-Feb-2027,1,"Supply, installation, testing & commissioning of 04 nos. Split type Air-cooler and related works for Neonatal Intensive Care Unit (NICU) at Block- C (1st floor), Bangladesh Medical University, Shahbag, Dhaka-1000",Bangladesh Medical University,25000,01-Sep-2026,15-Sep-2026,Md. Shahid  Akter,Executive Engr. (Elect.),"Address : BMU, Shahabag, Dhaka. City : Shahabag Thana : Dhaka South City Corporation District : Dhaka - 1000 Country : Bangladesh","BMU, Shahabag, Dhaka.",Shahabag,Dhaka South City Corporation,Dhaka - 1000,02-9666002,,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1312042
Ministry of Health and Family Welfare,,Bangladesh Medical University,"Office of Executive  Engineer (Electrical), BMU, Dhaka.",,Dhaka,Works,NCT,TENDER,Tender - Single Lot,e-tender/bmu/elect./2026-27/04,226504,1312050,Open Tendering Method (OTM),Revenue,Government,Not applicable,Not applicable,"e-tender/bmu/elect./2026-27/04 Supply & fitting of uPVC water drain pipeline for existing all air-cooler from ground floor to 10th floor of Block -F (Oncology Building) at Bangladesh Medical University, Shahbag, Dhaka-1000","Construction work;Site preparation work;Building demolition and wrecking work and earthmoving work;Test drilling and boring work;Works for complete or part construction and civil engineering work;Building construction work;Engineering works and construction works;Construction work for pipelines, communication and power lines, for highways, roads, airfields and railways; flatwork;Construction work for water projects;Construction works for plants, mining and manufacturing and for buildings relating to the oil and gas industry;Roof works and other special trade construction works;Building installation work;Electrical installation work;Insulation work;Plumbing and sanitary works;Fencing, railing and safety equipment installation work;Mechanical installations;Building completion work;Plastering work;Joinery and carpentry installation work;Floor and wall covering work;Painting and glazing work;Other building completion work;Hire of construction and civil engineering machinery and equipment with operator;Hire of cranes with operator;Hire of earthmoving equipment with operator",02-Aug-2026 11:00,13-Aug-2026 11:00,"1. Having experience in successful completion of similar nature of works in a single tender amounting to Tk. 2,10,000.00 (Two lac ten thousand) only under Govt./Semi-Govt./Autonomous bodies within last 05(five) years (The years counting backward from the date of invitation of tender). The certifying authority for that work completion shall be an officer not below the rank of Executive Engineer as per attached Form with Tender document. 2. The tenderer shall have a minimum Average Annual Construction Turnover in the last 05 (five) years Tk.2,50,000.00 (Two lac fifty thousand) only which will be supported by the certificate of NBR/ Work completion certificate (The years counting backward from the date of invitation of tender). 3. The minimum amount of liquid asset or working capital or Letter of Commitment for Bank’s Undertaking for Line of Credit (as per Form e-PW2A-8) of Tender and Contract Forms must be submitted for this purpose of the successful Tenderer shall not be less than Tk.2,50,000.00 (Two lac fifty thousand)  only. The supporting Bank document submitted along with the tender must be issued in between publication date and submission date of this Tender. 4. Up to date income tax clearance certificate mentioning TIN. 5. VAT Registration certificate . 6. Up to date renewed Trade License. 7.NID copy. 8. Necessary supporting documents are to be submitted with the tender.","Supply & fitting of uPVC water drain pipeline for existing all air-cooler from ground floor to 10th floor of Block -F (Oncology Building) at Bangladesh Medical University, Shahbag, Dhaka-1000",Lot wise,Package wise,Package wise,500,Payment through Bank,07-Feb-2027,07-Feb-2027,1,"Supply & fitting of uPVC water drain pipeline for existing all air-cooler from ground floor to 10th floor of Block -F (Oncology Building) at Bangladesh Medical University, Shahbag, Dhaka-1000",Bangladesh Medical University,8500,01-Sep-2026,30-Sep-2026,Md. Shahid  Akter,Executive Engr. (Elect.),"Address : BMU, Shahabag, Dhaka. City : Shahabag Thana : Dhaka South City Corporation District : Dhaka - 1000 Country : Bangladesh","BMU, Shahabag, Dhaka.",Shahabag,Dhaka South City Corporation,Dhaka - 1000,02-9666002,,https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1312050
