"Ministry","Division","Organization","Procuring Entity Name","Procuring Entity Code","Procuring Entity District","Procurement Nature","Procurement Type","Event Type","Invitation for ","Invitation Reference No.","App ID","Tender/Proposal ID","Procurement Method ","Budget Type","Source of Funds","Project Code","Project Name","Tender/Proposal Package No. and Description","Category","Scheduled Tender/Proposal Publication Date and Time","Tender/Proposal Document last selling / downloading Date and Time","Eligibility of Tenderer","Brief Description of Works","Evaluation Type","Document Available","Document Fees","Tender/Proposal Document Price (In BDT) ","Mode of Payment","Tender/Proposal Security Valid Up to","Tender/Proposal Valid Up to","Lot No.","Identification of Lot","Location","Tender/Proposal security(Amount in BDT)","Tentative Start Date","Tentative Completion Date","Name of Official Inviting Tender/Proposal","Designation of Official Inviting Tender/Proposal","Address of Official Inviting Tender/Proposal","Address","City","Thana","District","Phone No","Fax No","Estimated Cost","Tender Link"
"Ministry of Railways","","Bangladesh Railway","Office of the Chief Engineer (East), Chittagong","","Chattogram","Works","NCT","TENDER","Tender - Single Lot","xenpne/east/e-tender/26-27/04","227689","1330920","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","CTG-3.106/01/26-27/KA-1 AT RTA-For facilitating Dormitory to new Trainess, Rehabiliting & renovation of Multistoried Building no. 11(16 units) with roof treatment, repainting, installing door-window, water supply & sanitary fitting with other ancillary works.","Construction work;Site preparation work;Building demolition and wrecking work and earthmoving work;Test drilling and boring work;Works for complete or part construction and civil engineering work;Building construction work;Engineering works and construction works;Construction work for pipelines, communication and power lines, for highways, roads, airfields and railways; flatwork;Construction work for water projects;Construction works for plants, mining and manufacturing and for buildings relating to the oil and gas industry;Roof works and other special trade construction works;Building installation work;Electrical installation work;Insulation work;Plumbing and sanitary works;Fencing, railing and safety equipment installation work;Mechanical installations;Building completion work;Plastering work;Joinery and carpentry installation work;Floor and wall covering work;Painting and glazing work;Other building completion work;Hire of construction and civil engineering machinery and equipment with operator;Hire of cranes with operator;Hire of earthmoving equipment with operator","14-Sep-2026 17:00","27-Sep-2026 17:00","As stated in the tender document.","AT RTA-For facilitating Dormitory to new Trainess, Rehabiliting & renovation of Multistoried Building no. 11(16 units) with roof treatment, repainting, installing door-window, water supply & sanitary fitting with other ancillary works.","Lot wise","Package wise","Package wise","1500","Payment through Bank","25-Mar-2027","25-Mar-2027","00","AT RTA-For facilitating Dormitory to new Trainess, Rehabiliting & renovation of Multistoried Building no. 11(16 units) with roof treatment, repainting, installing door-window, water supply & sanitary fitting with other ancillary works.","At Railway Training Academy Chattogram","120000","07-Feb-2027","07-Feb-2028","MD. TANVIRUL ISLAM","CE,CME,CSTE,COPS,CCM,JDG","Address : CRB, Chittagong City : Chittagong Thana : Chattogram City Corporation District : Chattogram - 4000 Country : Bangladesh","CRB, Chittagong","Chittagong","Chattogram City Corporation","Chattogram - 4000","031-2863162","","4995000.00, OTM","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1330920"
"Ministry of Water Resources","","Bangladesh Water Development Board (BWDB)","Rangamati WD Division","","Rangamati","Works","NCT","TENDER","Tender - Single Lot","T-06/1314; Date:13-09-2026","227218","1333549","Open Tendering Method (OTM)","Development","Government","224420000","Sustainable Water Management of Karnaphuli and Connecting Rivers (Kasalong, Rainkhiang & Cholok) Rangamati Hill Districts.","ADP/Ranga/PW-16 River bank Protective work along the left bank of Kachalong River from Km. 0.000 to Km. 0.300 = 300m at Bagghona Para Area; Upazila: Baghaichori; Dist: Rangamati under Rangamati WD Division, BWDB, Kaptai.","Construction work for water projects; Works for complete or part construction and civil engineering work;","14-Sep-2026 19:00","06-Oct-2026 12:00","1. All individual(s)/firm(s)/ who fulfill the qualification(s) criteria as stipulated in the Tender Data Sheet (TDS) except the firm that has been determined to be ineligible by BWDB or any other government organization. Special Instructions for Tenderer: 1. The work may be totally dropped, decreased or increased. No claim or extra rate will be entertained for cancellation of the tender or issuance of a work order with a decreased quantity of work. 2. Only the certificates issuing from concern PE with detail information (such as; Name of the work, executed value, duration of work, official memo no. with date) will be accepted for specific experience. 3. All non-life insurance for any Public Property, or risks or liabilities pertaining to Public Property, shall be taken through Sadharon Bima Corporation in accordance with the Insurance Corporation Act, 2019. 4. Tender security must be payable through e-GP system only in the form of Pay Order/Bank Draft/BG from any schedule bank of Bangladesh in favour of Executive Engineer, Rangamati WD Division, BWDB, Kaptai. 5. The Tenderer will visit and examine the Site with his own responsibility and expenses and obtain all information that may be necessary for preparing the Tender document and entering into a Contract for the execution of the works. 6. The contractor has to keep video and image records of the work in different stages (before starting, during and after completion) at his own cost and submit the same to the office of the Executive Engineer. 7. The cost of all tests (compressive strength, materials test etc.) should be carried by the Contractor himself. 8. The clear instruction for all tenderer that ""Payment will be made after availability of fund and approval of budget.""","River bank Protective work along the left bank of Kachalong River from Km. 0.000 to Km. 0.300 = 300m at Bagghona Para Area; Upazila: Baghaichori; Dist: Rangamati under Rangamati WD Division, BWDB, Kaptai. (ADP/Ranga/PW-16)","Lot wise","Package wise","Package wise","4000","Payment through Bank","03-Mar-2027","03-Mar-2027","ADP/Ranga/PW-16","River bank Protective work along the left bank of Kachalong River from Km. 0.000 to Km. 0.300 = 300m at Bagghona Para Area; Upazila: Baghaichori; Dist: Rangamati under Rangamati WD Division, BWDB, Kaptai.","Baghaichari, Rangamati","1800000","01-Nov-2026","30-Apr-2028","Tayan Kumar Tripura","Executive Engineer","Address : Kaptai, Rangamati City : Kaptai Thana : Kaptai District : Rangamati - 4532 Country : Bangladesh","Kaptai, Rangamati","Kaptai","Kaptai","Rangamati - 4532","02-334461393","","69200000.00, OTM","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1333549"
"Ministry of Health and Family Welfare","Health Services Division","Directorate General of Health Services (DGHS)","Bagbati 31 bed Hospital, Sirajganj","","Sirajganj","Goods","NCT","TENDER","Tender - Single Lot","BAG31/SIRAJ/26-27/MSR-003","229639","1326150","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","BAG31/SIRAJ/26-27/MSR-03 Supply Works Of Instrument. (MSR Group-C)","Medical and laboratory devices, optical and precision devices, watches and clocks, pharmaceuticals and related medical consumables; Health and social work services;Medical devices;Imaging equipment for medical, dental and veterinary use;Functional exploration;Dentistry;Medical non-chemical consumables and haematological consumables;Therapy;Operating techniques;Anaesthesia and resuscitation;Functional support;Miscellaneous medical devices;Instruments and appliances for measuring, checking, testing and navigating;Navigational, meteorological, geological and geophysical instruments;Remote-control equipment;Precision balances, instruments for drawing, calculating and measuring length;Instruments for measuring quantities;Instruments for checking physical characteristics;Checking and testing apparatus;Regulating and controlling instruments and apparatus;Non-medical equipment based on the use of radiations;Industrial process control equipment;Optical instruments;Spectacles and lenses;Polarising material;Astronomical and optical instruments;Liquid crystal devices;Photographic equipment;Horological instruments;Watches and clocks;Health services;Hospital and related services;Medical practice and related services;Dental practice and related services;Miscellaneous health services;Veterinary services;Social work and related services;Social work services;Social services","14-Sep-2026 15:30","24-Sep-2026 13:30","As per TDS and PCC","Supply Works Of Instrument. (MSR Group-C)","Lot wise","Package wise","Package wise","1000","Payment through Bank","20-Jan-2027","20-Jan-2027","1","Supply Works Of Instrument. (MSR Group-C)","Bagbati 31-bedded hospital, Sadar, Sirajganj","43000","08-Oct-2026","08-Dec-2026","MST. SHARMIN KHONDOKER","Health & Family Planning Officer","Address : Sirajganj Sadar Upazila, Sirajganj City : Sirajganj Thana : Sirajganj Sadar District : Sirajganj - 6700 Country : Bangladesh","Sirajganj Sadar Upazila, Sirajganj","Sirajganj","Sirajganj Sadar","Sirajganj - 6700","0751-62449","","1550000.00, OTM","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1326150"
"Ministry of Energy","Power and Mineral Resources","The Coal Power Generation Company Bangladesh Limited (CPGCBL)","Chief Engineer (O&M)","CE(O&M)_MPP","Cox's Bazar","Goods","NCT","TENDER","Tender - Single Lot","27.32.0000.000.020.60.0001.24-0702; Dt:14/09/2026","229039","1320145","Open Tendering Method (OTM)","Own Fund","Own Fund","Not applicable","Not applicable","MPP_CE-2026-27/GR-03 Supply of maintenance tools for the Boiler and Auxiliary Boiler of Matarbari 2X600MW USC Coal Fired Power Plant","Fabricated products and materials; Machinery, equipment, appliances, apparatus and associated products;Structural metal products;Metal structures and parts of structures;Builders joinery of metal;Metal tanks, reservoirs and containers; central-heating radiators and boilers;Metal tanks, reservoirs, containers and pressure vessels;Central-heating radiators and boilers and parts;Nuclear reactors and parts;Nuclear reactors;Parts of nuclear reactors;Cable, wire and related products;Wire products;Cable and related products;Miscellaneous fabricated metal products and related items;Metal articles for the bathroom and kitchen;Metal goods;Armour plating;Bearings;Mild steel;Props and mining struts;Cast-iron products;Miscellaneous fire-protection equipment;Cutlery, tools, locks, keys and hinges;Cutlery;Tools;Locks, keys and hinges;Fasteners, chain and springs;Fasteners;Chain;Springs;Construction materials and associated items;Construction materials;Road furniture;Sewer mains;Steel products related to construction materials;Oil country tubular goods;Pipeline, piping, pipes, casing, tubing and related items;Machinery for the production and use of mechanical power;Turbines and motors;Pumps and compressors;Taps, cocks, valves and similar appliances;Gears, gearing and driving elements;General-purpose machinery;Industrial or laboratory furnaces, incinerators and ovens;Lifting and handling equipment and parts;Cooling and ventilation equipment;Miscellaneous general-purpose machinery;Agricultural, horticultural and forestry machinery;Agricultural and forestry machinery for soil preparation or cultivation;Harvesting machinery;Spraying machinery for agriculture or horticulture;Self-loading or unloading trailers and semi-trailers for agriculture;Specialist agricultural or forestry machinery;Tractors;Parts of agricultural and forestry machinery;Machine tools;Machine tools operated by laser and machining centres;Lathes, boring and milling machine tools;Metal-working machine tools;Machine tools for working hard materials except metals;Pneumatic or motorised hand tools;Soldering, brazing and welding tools, surface tempering and hot-spraying machines and equipment;Parts and accessories of machine tools;Special-purpose machinery and parts;Machinery for metallurgy and associated parts;Machinery for mining, quarrying and construction;Machinery for food, beverage and tobacco processing and associated parts;Machinery for textile, apparel and leather production;Machinery for paper or paperboard production;Miscellaneous special-purpose machinery;Weapons, ammunition and associated parts;Motorised tanks and armoured fighting vehicles;Military weapons;Firearms;Ammunition;Parts of military weapons;Truncheons or night sticks;Domestic appliances;Electrical domestic appliances;Non-electric domestic appliances;Miscellaneous equipment;Transport related equipment;Workshop equipment;Construction equipment;Catering equipment;Emergency and security equipment;Technical equipment;Miscellaneous equipment n.e.c.","14-Sep-2026 16:00","05-Oct-2026 15:30","As specified in TDS.","Supply of maintenance tools for the Boiler and Auxiliary Boiler of Matarbari 2X600MW USC Coal Fired Power Plant","Lot wise","Package wise","Package wise","1500","Payment through Bank","02-Mar-2027","02-Mar-2027","01","Supply of maintenance tools for the Boiler and Auxiliary Boiler of Matarbari 2X600MW USC Coal Fired Power Plant","MUSCCFPP,Matarbari, Moheshkhali,Coxs Bazar","70000","30-Nov-2026","31-Jan-2027","Muhammad Monowar Hossain Mojumder","Chief Engineer (O&M)","Address : Matarbari 2*600 USC Coal Based Power Plant, Matarbari, Moheshkhali, Cox's Bazar City : Matarbari Thana : Moheskhali District : Cox's Bazar - 4710 Country : Bangladesh","Matarbari 2*600 USC Coal Based Power Plant, Matarbari, Moheshkhali, Cox's Bazar","Matarbari","Moheskhali","Cox's Bazar - 4710","02-55138644","","3000000.00, OTM","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1320145"
"Ministry of Agriculture","","Bangladesh Agricultural Development Corporation (BADC)","Modernization and improvement of existing seed production, processing and distribution facilities of BADC (MIEF) (2nd Phase)","","Dhaka","Works","NCT","TENDER","Tender - Single Lot","12.06.0000.291.07.0040.26","230042","1330945","Open Tendering Method (OTM)","Development","Government","224407800","Modernization and improvement of existing seed production, processing and distribution facilities of BADC (MIEF) (2nd Phase)","MIEF/26-27/WD-10.26.1 Construction of Boundary Wall-26.1","Construction work;Site preparation work;Building demolition and wrecking work and earthmoving work;Test drilling and boring work;Works for complete or part construction and civil engineering work;Building construction work;Engineering works and construction works;Construction work for pipelines, communication and power lines, for highways, roads, airfields and railways; flatwork;Construction work for water projects;Construction works for plants, mining and manufacturing and for buildings relating to the oil and gas industry;Roof works and other special trade construction works;Building installation work;Electrical installation work;Insulation work;Plumbing and sanitary works;Fencing, railing and safety equipment installation work;Mechanical installations;Building completion work;Plastering work;Joinery and carpentry installation work;Floor and wall covering work;Painting and glazing work;Other building completion work;Hire of construction and civil engineering machinery and equipment with operator;Hire of cranes with operator;Hire of earthmoving equipment with operator","14-Sep-2026 16:00","27-Sep-2026 17:00","Eligibility of Tenderer: 01. The minimum number of years of general experience of the Tenderer in the construction works as Prime Contractor or Subcontractor or Management Contractor shall be as per TDS (ITT Clause 13.1). 02. The minimum specific experience as a Prime Contractor or Subcontractor or Management Contractor in construction works under public sector as per TDS (ITT Clause 13.1 (b)). 03. The average annual construction turnover under the public sector as specified in the TDS during the period specified in the TDS (ITT Clause 14.1 (a)). 04. Availability of minimum financial resources in any form or combination of forms of liquid assets or credit line(s) or working capital, net of other contractual commitments of the amount as specified in the TDS (ITT Clause 14.1 (b)). 05. The required audit reports on the financial standing, such as profit and loss statements and balance sheet shall be for the past 01 (One) years (ITT Clause (29.1 h)). 06. The Tenderer must enclose up-to-date Trade license, income Tax clearance certificate, valid VAT registration certificate along with the Tender. 07. Other required eligibility and conditions of the Tender are shown in Tender Data Sheet (TDS) and Particular Conditions of Contract (PCC) of tender documents. 08. The work of the packages may be totally dropped, decrease, or increase as per field condition/ design/ budget allocation for which no claim shall be entertained. 09. Payment shall be made subject to availability of fund. No Claim in this regard will be entertained. 10.  The bidders can either bid for all tender in the same package but could be awarded Only two (2) tenders if they satisfy the aggregate qualification criteria.","Construction of Boundary Wall-26.1","Lot wise","Package wise","Package wise","2500","Payment through Bank","03-Feb-2027","03-Feb-2027","01","Construction of Boundary Wall-26.1","Any District Under Project Area","230000","01-Nov-2026","31-Oct-2027","Md Ibrahim Khalil","Project   Director","Address : 6th Floor, BADC, Krishi Bhaban, Dilkusha, Dhaka-1000 City : Dhaka Thana : Dhaka South City Corporation District : Dhaka - 1000 Country : Bangladesh","6th Floor, BADC, Krishi Bhaban, Dilkusha, Dhaka-1000","Dhaka","Dhaka South City Corporation","Dhaka - 1000","02-223386719","","7896000.00, OTM","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1330945"
"Ministry of Agriculture","","Bangladesh Agricultural Development Corporation (BADC)","Modernization and improvement of existing seed production, processing and distribution facilities of BADC (MIEF) (2nd Phase)","","Dhaka","Works","NCT","TENDER","Tender - Single Lot","12.06.0000.291.07.0014.26","230042","1328625","Open Tendering Method (OTM)","Development","Government","224407800","Modernization and improvement of existing seed production, processing and distribution facilities of BADC (MIEF) (2nd Phase)","MIEF/26-27/WD-11.21 Construction of sunning floor/15.1.","Construction work;Site preparation work;Building demolition and wrecking work and earthmoving work;Test drilling and boring work;Works for complete or part construction and civil engineering work;Building construction work;Engineering works and construction works;Construction work for pipelines, communication and power lines, for highways, roads, airfields and railways; flatwork;Construction work for water projects;Construction works for plants, mining and manufacturing and for buildings relating to the oil and gas industry;Roof works and other special trade construction works;Building installation work;Electrical installation work;Insulation work;Plumbing and sanitary works;Fencing, railing and safety equipment installation work;Mechanical installations;Building completion work;Plastering work;Joinery and carpentry installation work;Floor and wall covering work;Painting and glazing work;Other building completion work;Hire of construction and civil engineering machinery and equipment with operator;Hire of cranes with operator;Hire of earthmoving equipment with operator","14-Sep-2026 17:00","27-Sep-2026 17:00","Eligibility of Tenderer: The minimum number of years of general experience of the Tenderer in the construction works as Prime Contractor or Subcontractor or Management Contractor shall be as per TDS (ITT Clause 13.1). The minimum specific experience as a Prime Contractor or Subcontractor or Management Contractor in construction works under public sector as per TDS (ITT Clause 13.1 (b)). The average annual construction turnover under the public sector as specified in the TDS during the period specified in the TDS (ITT Clause 14.1 (a)). Availability of minimum financial resources in any form or combination of forms of liquid assets or credit line(s) or working capital, net of other contractual commitments of the amount as specified in the TDS (ITT Clause 14.1 (b)). The required audit reports on the financial standing, such as profit and loss statements and balance sheet shall be for the past 01 (One) years (ITT Clause (29.1 h)). The Tenderer must enclose up-to-date Trade license, income Tax clearance certificate, valid VAT registration certificate along with the Tender. Other required eligibility and conditions of the Tender are shown in Tender Data Sheet (TDS) and Particular Conditions of Contract (PCC) of tender documents. The work of the packages may be totally dropped, decrease, or increase as per field condition/ design/ budget allocation for which no claim shall be entertained. Payment shall be made subject to availability of fund. No Claim in this regard will be entertained. The bidders can either bid for all tender in the same package but could be awarded Only two (2) tenders if they satisfy the aggregate qualification criteria.","Construction of sunning floor/15.1.","Lot wise","Package wise","Package wise","1500","Payment through Bank","03-Feb-2027","03-Feb-2027","01","Construction of sunning floor/15.1.","Any District Under Project Area","100000","01-Oct-2026","31-Mar-2027","Md Ibrahim Khalil","Project   Director","Address : 6th Floor, BADC, Krishi Bhaban, Dilkusha, Dhaka-1000 City : Dhaka Thana : Dhaka South City Corporation District : Dhaka - 1000 Country : Bangladesh","6th Floor, BADC, Krishi Bhaban, Dilkusha, Dhaka-1000","Dhaka","Dhaka South City Corporation","Dhaka - 1000","02-223386719","","3420000.00, OTM","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1328625"
"Ministry of Railways","","Bangladesh Railway","Office of the Chief Engineer (East), Chittagong","","Chattogram","Works","NCT","TENDER","Tender - Single Lot","xenpne/east/e-tender/26-27/05","227689","1331072","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","CTG-3.106/02/26-27/KA-1 AT RTA- For facilitating Dormitory to new Trainess, Rehabiliting & renovation of Multistoried Building no. 12 (16 units) with roof treatment, repainting, installing door-window, water supply & sanitary fitting with other ancillary works.","Construction work;Site preparation work;Building demolition and wrecking work and earthmoving work;Test drilling and boring work;Works for complete or part construction and civil engineering work;Building construction work;Engineering works and construction works;Construction work for pipelines, communication and power lines, for highways, roads, airfields and railways; flatwork;Construction work for water projects;Construction works for plants, mining and manufacturing and for buildings relating to the oil and gas industry;Roof works and other special trade construction works;Building installation work;Electrical installation work;Insulation work;Plumbing and sanitary works;Fencing, railing and safety equipment installation work;Mechanical installations;Building completion work;Plastering work;Joinery and carpentry installation work;Floor and wall covering work;Painting and glazing work;Other building completion work;Hire of construction and civil engineering machinery and equipment with operator;Hire of cranes with operator;Hire of earthmoving equipment with operator","14-Sep-2026 17:00","27-Sep-2026 17:00","As stated in the tender document.","AT RTA- For facilitating Dormitory to new Trainess, Rehabiliting & renovation of Multistoried Building no. 12 (16 units) with roof treatment, repainting, installing door-window, water supply & sanitary fitting with other ancillary works.","Lot wise","Package wise","Package wise","2500","Payment through Bank","25-Mar-2027","25-Mar-2027","00","AT RTA- For facilitating Dormitory to new Trainess, Rehabiliting & renovation of Multistoried Building no. 12 (16 units) with roof treatment, repainting, installing door-window, water supply & sanitary fitting with other ancillary works.","At Railway Training Academy Chattogram","144000","07-Feb-2027","07-Feb-2028","MD. TANVIRUL ISLAM","CE,CME,CSTE,COPS,CCM,JDG","Address : CRB, Chittagong City : Chittagong Thana : Chattogram City Corporation District : Chattogram - 4000 Country : Bangladesh","CRB, Chittagong","Chittagong","Chattogram City Corporation","Chattogram - 4000","031-2863162","","Not Found","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1331072"
"Ministry of Energy","Power and Mineral Resources","Bangladesh Power Development Board","Chief Chemist, Bibiyana South 400 MW Combined Cycle Power Plant, BPDB, Parkul, Nabiganj, Habiganj.","","Habiganj","Goods","NCT","TENDER","Tender - Single Lot","27.11.3677.462.05.004.26.607; Date:05-09-2026","230892","1324517","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","GR-22 APP 2026-2027 South Procurement of Sodium Hypochlorite for pretreatment of clarifier and cooling Tower for Bibiyana South 400 MW CCPP, Habiganj","Basic inorganic chemicals; Chemicals;","14-Sep-2026 17:00","28-Sep-2026 17:00","Tenderer Should have the followings: 1. Tenderer should have valid upto date Trade licence, Latest Income Tax certificate, valid e-TIN certificate, VAT, Bank solvency, Nationality certificate, Authorization Letter. 2. Tenderers shall have the legal capacity to enter into the Contract, under the Applicable Law. 3. Tenderers must have similar chemical import license/ genunine chemical production factorys agent documents. 4. Tenderers must have at least 01(one) Sodium Hypochlorite supply or similar supply experience related to cooling chemicals within last 5 (five) years otherwise tender will be non-responsive. 5. Tenderers must submit 1L Sodium Hypochlorite sample before 28/09/2026, 17:00 in office of the cheif chemist, Bibiyana-South, 400 MW CCPP, Habiganj in suitable Jar/Bottle/packet to fulfill the requirements as mentioned in specification in tender documents otherwise the tenderer will be non responsive. 6. Tenderers must fulfill the requirements of TDS & PCC. 7. Tenderers must submit a written commitment that they are committed to supply estimated quantity in different segments as purchaser wants. 8. Tenderers must submit end user certificate as a proof of Sodium Hypochlorite supply experiences within last 5 years. 9. Tenderers shall provide evidences of their continued eligibility satisfactory to the Procuring Entity, as the Procuring Entity will reasonably request. 10.Tenderers must submit a Safety Data Sheet (SDS) for the supply of Sodium Hypochlorite .","Procurement of Sodium Hypochlorite for  pretreatment of clarifier and cooling Tower of Bibiyana South 400MW, CCPP, Habiganj","Lot wise","Package wise","Package wise","2500","Payment through Bank","25-Jan-2027","25-Jan-2027","Single","Procurement of Sodium Hypochlorite for pretreatment of clarifier and cooling Tower for Bibiyana South 400 MW CCPP, Habiganj","Bibiyana South 400 MW CCPP, BPDB, Habiganj  plant store","150000","15-Oct-2026","13-Oct-2027","SAIFUL ISLAM","Chief Chemist","Address : Bibiyana South 400 MW Combined Cycle Power Plant, BPDB, Parkul, Nabiganj, Habiganj. City : Nabiganj Thana : Nabiganj District : Habiganj - 3203 Country : Bangladesh","Bibiyana South 400 MW Combined Cycle Power Plant, BPDB, Parkul, Nabiganj, Habiganj.","Nabiganj","Nabiganj","Habiganj - 3203","013-13096156","","Not Found","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1324517"
"Ministry of Local Government","Rural Development and Co-operatives","Local Government Engineering Department (LGED)","Office of the Executive Engineer, LGED, Jashore","","Jashore","Works","NCT","TENDER","Tender - Single Lot","APP ID : 225717","225717","1330735","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","LGED/GOBM/Jash/26-27/RW-04 Rehabilitation (Widening) of Haibatpur UP Office - Kismat Bazar via Natuapara Road from Ch.00m-4400m Road ID-241473017 [Sadar] (Road Re-hab/Widening)","Construction work;Site preparation work;Building demolition and wrecking work and earthmoving work;Test drilling and boring work;Works for complete or part construction and civil engineering work;Building construction work;Engineering works and construction works;Construction work for pipelines, communication and power lines, for highways, roads, airfields and railways; flatwork;Construction work for water projects;Construction works for plants, mining and manufacturing and for buildings relating to the oil and gas industry;Roof works and other special trade construction works;Building installation work;Electrical installation work;Insulation work;Plumbing and sanitary works;Fencing, railing and safety equipment installation work;Mechanical installations;Building completion work;Plastering work;Joinery and carpentry installation work;Floor and wall covering work;Painting and glazing work;Other building completion work;Hire of construction and civil engineering machinery and equipment with operator;Hire of cranes with operator;Hire of earthmoving equipment with operator","14-Sep-2026 16:00","29-Sep-2026 17:00","As descrided in TDS.","LGED/GOBM/Jash/26-27/RW-04 Rehabilitation (Widening) of Haibatpur UP Office - Kismat Bazar via Natuapara Road from Ch.00m-4400m Road ID-241473017 [Sadar] (Road Re-hab/Widening)","Lot wise","Package wise","Package wise","4000","Payment through Bank","25-Feb-2027","25-Feb-2027","1","Rehabilitation (Widening) of Haibatpur UP Office - Kismat Bazar via Natuapara Road from Ch.00m-4400m Road ID-241473017 [Sadar] (Road Re-hab/Widening)","Jashore Sadar","1000000","01-Nov-2026","29-Apr-2027","Ahmed Mahbubur Rahman","Executive Engineer","Address : XEN Office, LGED, Jashore City : Jashore Thana : Jashore Sadar District : Jashore - 7400 Country : Bangladesh","XEN Office, LGED, Jashore","Jashore","Jashore Sadar","Jashore - 7400","0421-68951","","49000000.00, OTM","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1330735"
"Ministry of Home Affairs","","Bangladesh Police","Logistics Division, Dhaka Metropolitan Police, Dhaka","10003","Dhaka","Goods","NCT","TENDER","Tender - Single Lot","02/DMP/Logistics/RS/2026-2027/17","224308","1334069","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","02/DMP/Logistics/RS/2026-2027/17 Lot 02 Masor Dal (Lentil)","Food products and beverages;Animal products, meat and meat products;Meat;Animal wool, hides and skins;Meat products;Prepared and preserved fish;Fish fillets, fish livers and roe;Frozen fish, fish fillets and other fish meat;Dried or salted fish; fish in brine; smoked fish;Canned or tinned fish and other prepared or preserved fish;Seafood;Fruit, vegetables and related products;Potatoes and potato products;Fruit and vegetable juices;Fruit and vegetables;Animal or vegetable oils and fats;Crude animal or vegetable oils and fats;Refined oils and fats;Edible fats;Dairy products;Milk and cream;Butter;Cheese products;Assorted dairy products;Grain mill products, starches and starch products;Grain mill products;Starches and starch products;Animal feedstuffs;Prepared animal feeds for farm and other animals;Miscellaneous food products;Bread products, fresh pastry goods and cakes;Rusks and biscuits; preserved pastry goods and cakes;Sugar and related products;Cocoa; chocolate and sugar confectionery;Pasta products;Coffee, tea and related products;Condiments and seasonings;Special nutritional products;Miscellaneous food products n.e.c. and dried goods;Beverages;Distilled alcoholic beverages;Wines;Cider and other fruit wines;Non-distilled fermented beverages;Malt beer;Non-alcoholic beverages","14-Sep-2026 16:00","05-Oct-2026 17:00","(i) Copies of valid Trade license for 2025-2026 fiscal year. (ii) Bank solvency certificate. (iii) Income tax clearance certificate (2024-2025) (iv) Up to date VAT registration certificate & TIN Certificate. (v) Manufacturer Authorization Letter. (vi) 80% Liquid Asset of total price according to Form-8 of PG-3. (vii) National ID Card with one copy PP size color Photograph. (viii) Three years Experiences Certificate similar works. ** Tenderer must be submited 1 Kg Sample on opening date before opening time.","Lot 02 Masor Dal (Lentil)","Lot wise","Package wise","Package wise","4000","Payment through Bank","03-Mar-2027","03-Mar-2027","02","Lot 02 Masor Dal (Lentil)","Logistics Division, Dhaka Metropolitan Police, Dhaka","1800000","15-Oct-2026","31-Dec-2026","MD. RABIUL HASAN","Deputy Police Commissioner","Address : Logistics Division, Dhaka Metropolitan Police, Dhaka City : Dhaka Thana : Dhaka South City Corporation District : Dhaka - 1000 Country : Bangladesh","Logistics Division, Dhaka Metropolitan Police, Dhaka","Dhaka","Dhaka South City Corporation","Dhaka - 1000","02-9338592","","66000000.00, OTM","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1334069"
