"Ministry","Division","Organization","Procuring Entity Name","Procuring Entity Code","Procuring Entity District","Procurement Nature","Procurement Type","Event Type","Invitation for ","Invitation Reference No.","App ID","Tender/Proposal ID","Procurement Method ","Budget Type","Source of Funds","Project Code","Project Name","Tender/Proposal Package No. and Description","Category","Scheduled Tender/Proposal Publication Date and Time","Tender/Proposal Document last selling / downloading Date and Time","Eligibility of Tenderer","Brief Description of Works","Evaluation Type","Document Available","Document Fees","Tender/Proposal Document Price (In BDT) ","Mode of Payment","Tender/Proposal Security Valid Up to","Tender/Proposal Valid Up to","Lot No.","Identification of Lot","Location","Tender/Proposal security(Amount in BDT)","Tentative Start Date","Tentative Completion Date","Name of Official Inviting Tender/Proposal","Designation of Official Inviting Tender/Proposal","Address of Official Inviting Tender/Proposal","Address","City","Thana","District","Phone No","Fax No","Estimated Cost","Tender Link"
"Ministry of Fisheries & Livestock","","Department of Livestock Services (DLS)","Director Account, Budget and Audit Office","","Dhaka","Goods","NCT","TENDER","Tender - Single Lot","33.01.0000.102.99.021.26-545","227412","1324018","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","DLS/GR- 02 Procurement of Furniture for DLS","Manufactured goods, furniture, handicrafts, special-purpose products and associated consumables; Furniture; Jewellery and related articles; Musical instruments and parts; Sports goods and equipment; Games and toys; fairground amusements; Miscellaneous manufactured and other goods; Consumables and consumer goods; Handicraft and art supplies; Special-purpose product;Seats, chairs and associated parts;Non-domestic furniture;Domestic furniture;Miscellaneous furniture and equipment;School furniture;Coins and medals;Articles of jewellery;Musical instruments;Parts and accessories of musical instruments;Outdoor sports equipment;Gymnasium equipment;Dolls;Toys;Articles for funfair, table or parlour games;Laundry supplies;School slates or boards with writing or drawing surfaces;Artificial products;Apparatus and equipment designed for demonstrational purposes;Umbrellas and sunshades; walking sticks and seat sticks;Funeral supplies;Kitchen equipment, household items and catering supplies;Barracks supplies;Consumables;Tax-free goods;Disposable goods;Handicraft supplies;Art supplies;Police equipment;Recycled products;Security devices;Animal ear tags;Compost boxes;Tokens;Spray booths;Snow poles","27-Aug-2026 12:00","06-Sep-2026 11:40","As per TDS","Procurement of Furniture for DLS","Lot wise","Package wise","Package wise","1000","Payment through Bank","01-Feb-2027","01-Feb-2027","lot 1","Procurement of Furniture for DLS","Office of PE","41000","30-Sep-2026","29-Oct-2026","A  B M Khaleduzzaman","Director","Address : Director Account, Budget and Audit Office, Department of Livestock Services (DLS)
Krishi Khamar Sarak, Farmgate, Dhaka-1215 City : Dhaka Thana : Dhaka North City Corporation District : Dhaka - 1215 Country : Bangladesh","","Dhaka","Dhaka North City Corporation","Dhaka - 1215","02-222242213","","Not Found","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1324018"
"Ministry of Health and Family Welfare","Health Services Division","Directorate General of Health Services (DGHS)","Rajnagar Upazila Health Complex, Moulvibazar","","Moulvibazar","Goods (Framework Agreement)","NCT","TENDER","Tender - Single Lot","UHC/Rajnagar/Tender/2026-27/925","229312","1323462","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","UHC/Rajn/MSR/Linen/2026-27 Procurement of Linen Items for Upazila Health Complex, Rajnagar, Moulvibazar in FY 2026-2027","Medical and laboratory devices, optical and precision devices, watches and clocks, pharmaceuticals and related medical consumables;Medical devices;Imaging equipment for medical, dental and veterinary use;Functional exploration;Dentistry;Medical non-chemical consumables and haematological consumables;Therapy;Operating techniques;Anaesthesia and resuscitation;Functional support;Miscellaneous medical devices;Instruments and appliances for measuring, checking, testing and navigating;Navigational, meteorological, geological and geophysical instruments;Remote-control equipment;Precision balances, instruments for drawing, calculating and measuring length;Instruments for measuring quantities;Instruments for checking physical characteristics;Checking and testing apparatus;Regulating and controlling instruments and apparatus;Non-medical equipment based on the use of radiations;Industrial process control equipment;Optical instruments;Spectacles and lenses;Polarising material;Astronomical and optical instruments;Liquid crystal devices;Photographic equipment;Horological instruments;Watches and clocks","27-Aug-2026 12:00","09-Sep-2026 16:00","As per TDS and PCC","Procurement of Linen Items for Upazila Health Complex, Rajnagar, Moulvibazar in FY 2026-2027","Lot wise","Package wise","Package wise","500","Payment through Bank","06-Jan-2027","06-Jan-2027","01","Procurement of Linen Items for Upazila Health Complex, Rajnagar, Moulvibazar in FY 2026-2027","Rajnagar Upazila Health Complex, Moulvibazar","18500","30-Sep-2026","30-Dec-2026","Bornali Das","UH&FPO","Address : Rajnagar , Moulvibazar City : Rajnagar Thana : Rajnagar District : Moulvibazar - 3240 Country : Bangladesh","Rajnagar , Moulvibazar","Rajnagar","Rajnagar","Moulvibazar - 3240","08625-75012","","750000.00, OTM","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1323462"
"Ministry of Local Government","Rural Development and Co-operatives","Local Government Engineering Department (LGED)","Office of the Executive Engineer, LGED, Dhaka","","Dhaka","Works","NCT","TENDER","Tender - Single Lot","APP ID 226561","226561","1323474","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","LGED/GOBM/Dha/26-27/RW-01 Rehabilitation of Dhaka - Aricha RHD. (Military Farm) - Miton & BPATC Road from Ch. 00m-3572m [Road ID: 326724229] under Savar Upazila, District: Dhaka.  Package No: LGED/GOBM/Dha/26-27/RW-01","Construction work;Site preparation work;Building demolition and wrecking work and earthmoving work;Test drilling and boring work;Works for complete or part construction and civil engineering work;Building construction work;Engineering works and construction works;Construction work for pipelines, communication and power lines, for highways, roads, airfields and railways; flatwork;Construction work for water projects;Construction works for plants, mining and manufacturing and for buildings relating to the oil and gas industry;Roof works and other special trade construction works;Building installation work;Electrical installation work;Insulation work;Plumbing and sanitary works;Fencing, railing and safety equipment installation work;Mechanical installations;Building completion work;Plastering work;Joinery and carpentry installation work;Floor and wall covering work;Painting and glazing work;Other building completion work;Hire of construction and civil engineering machinery and equipment with operator;Hire of cranes with operator;Hire of earthmoving equipment with operator","27-Aug-2026 14:00","08-Sep-2026 17:00","As per ITT & TDS.","Rehabilitation of Dhaka - Aricha RHD. (Military Farm) - Miton & BPATC Road from Ch. 00m-3572m [Road ID: 326724229] under Savar Upazila, District: Dhaka. Package No: LGED/GOBM/Dha/26-27/RW-01","Lot wise","Package wise","Package wise","4000","Payment through Bank","06-Mar-2027","06-Mar-2027","1","Rehabilitation of Dhaka - Aricha RHD. (Military Farm) - Miton & BPATC Road from Ch. 00m-3572m [Road ID: 326724229] under Savar Upazila, District: Dhaka. 
Package No: LGED/GOBM/Dha/26-27/RW-01","Savar Upazila, District- Dhaka","1000000","01-Nov-2026","28-Feb-2027","Md Sharifuzzaman","Executive Engineer","Address : XEN Office, LGED, 62 West Agargaon, Sher-e-Bangla Nagar, Dhaka City : Dhaka Thana : Dhaka North City Corporation District : Dhaka - 1207 Country : Bangladesh","XEN Office, LGED, 62 West Agargaon, Sher-e-Bangla Nagar, Dhaka","Dhaka","Dhaka North City Corporation","Dhaka - 1207","88-02-8155657","88-02-8155655","Not Found","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1323474"
"Ministry of Local Government","Rural Development and Co-operatives","Khulna City Corporation","Executive Engineer (Mech.) at Office of the Executive Engineer (Mech.) , Khulna City Corporation","","Khulna","Goods","NCT","TENDER","Tender - Single Lot","APP ID : 	216057","216057","1320633","Open Tendering Method (OTM)","Own Fund","Own Fund","Not applicable","Not applicable","KCC/Won/XEN-M/2025-26/G-85 Purchasing and Repairing works of Khulna Metro Kha-11-0122 No Car, Khulna Metro Kha-11-0103 No Car, Khulna Metro Ha-12-3355 No Motorcycle, Garage branch mobile purchase, Eicher- 6/11 No Truck, Eicher- 9/20 No Truck, Eicher- 10/20 No Truck,  Eicher- 11/20 No Truck, Eicher- 16/20 No Truck, Wheel loader- 08 & LGED (China)- 01 No Truck.","Machinery, equipment, appliances, apparatus and associated products;Machinery for the production and use of mechanical power;Turbines and motors;Pumps and compressors;Taps, cocks, valves and similar appliances;Gears, gearing and driving elements;General-purpose machinery;Industrial or laboratory furnaces, incinerators and ovens;Lifting and handling equipment and parts;Cooling and ventilation equipment;Miscellaneous general-purpose machinery;Agricultural, horticultural and forestry machinery;Agricultural and forestry machinery for soil preparation or cultivation;Harvesting machinery;Spraying machinery for agriculture or horticulture;Self-loading or unloading trailers and semi-trailers for agriculture;Specialist agricultural or forestry machinery;Tractors;Parts of agricultural and forestry machinery;Machine tools;Machine tools operated by laser and machining centres;Lathes, boring and milling machine tools;Metal-working machine tools;Machine tools for working hard materials except metals;Pneumatic or motorised hand tools;Soldering, brazing and welding tools, surface tempering and hot-spraying machines and equipment;Parts and accessories of machine tools;Special-purpose machinery and parts;Machinery for metallurgy and associated parts;Machinery for mining, quarrying and construction;Machinery for food, beverage and tobacco processing and associated parts;Machinery for textile, apparel and leather production;Machinery for paper or paperboard production;Miscellaneous special-purpose machinery;Weapons, ammunition and associated parts;Motorised tanks and armoured fighting vehicles;Military weapons;Firearms;Ammunition;Parts of military weapons;Truncheons or night sticks;Domestic appliances;Electrical domestic appliances;Non-electric domestic appliances;Miscellaneous equipment;Transport related equipment;Workshop equipment;Construction equipment;Catering equipment;Emergency and security equipment;Technical equipment;Miscellaneous equipment n.e.c.","27-Aug-2026 11:34","16-Sep-2026 17:00","As per TDS and ITT 1. The minimum specific experience as Supplier in supply of similar Goods of at least one (1) contract successfully completed within the last [state number] years, with a value of at least  TK 2,75,000.00 2. The minimum amount of financial resources as liquid asset or working capital or credit line(s) or specific credit commitment or in any combination of them, of the Tenderers shall be  TK: 4,12,000.00 3. Payment will be made upon the availability of funds. For this,s no claim will be entertained. 4. VAT & IT from the bill will be as per the prevailing Government Rate. No extra claim will be entertained in this regard. 5. To ensure the Quality of the material, Various tests shall be performed by the tenderer as per instructions.","KCC/Won/XEN-M/2025-26/G-85 Purchasing and Repairing works of Khulna Metro Kha-11-0122 No Car, Khulna Metro Kha-11-0103 No Car, Khulna Metro Ha-12-3355 No Motorcycle, Garage branch mobile purchase, Eicher- 6/11 No Truck, Eicher- 9/20 No Truck, Eicher- 10/20 No Truck, Eicher- 11/20 No Truck, Eicher- 16/20 No Truck, Wheel loader- 08 & LGED (China)- 01 No Truck.","Lot wise","Package wise","Package wise","500","Payment through Bank","12-Feb-2027","12-Feb-2027","1","Purchasing and Repairing works of Khulna Metro Kha-11-0122 No Car, Khulna Metro Kha-11-0103 No Car, Khulna Metro Ha-12-3355 No Motorcycle, Garage branch mobile purchase, Eicher- 6/11 No Truck, Eicher- 9/20 No Truck, Eicher- 10/20 No Truck,  Eicher- 11/20 No Truck, Eicher- 16/20 No Truck, Wheel loader- 08 & LGED (China)- 01 No Truck.","Khulna City Corporation","12800","22-Oct-2026","30-Jun-2027","Bidyut Kumar Das","Executive Engineer","Address : 28 KD GHOSH ROAD ,KHULNA City : Khulna Thana : Khulna City Corporation District : Khulna - 9100 Country : Bangladesh","28 KD GHOSH ROAD ,KHULNA","Khulna","Khulna City Corporation","Khulna - 9100","041-721337","","480000.00, OTM","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1320633"
"Ministry of Energy","Power and Mineral Resources","Meghna Petroleum Limited","Operation Division","","Chattogram","Goods","NCT","TENDER","Tender - Single Lot","PUR: 021 (2026-27)","227306","1318594","Open Tendering Method (OTM)","Own Fund","Own Fund","Not applicable","Not applicable","Purchase : 006_2026-27 PROCUREMENT OF BRAND NEW PHOTOCOPY MACHINE","Photocopying and printing equipment; Office machinery, equipment and supplies except computers;","27-Aug-2026 13:00","06-Sep-2026 17:00","As per TDS","PROCUREMENT OF BRAND NEW PHOTOCOPY MACHINE","Lot wise","Package wise","Package wise","500","Payment through Bank","03-Jan-2027","03-Jan-2027","1","PROCUREMENT OF BRAND NEW PHOTOCOPY MACHINE","FATULLAH, MOGHLABAZAR, BARISHAL, JHALAKATHI, DAULATPUR DEPOT AND MMSC, DHAKA","21000","27-Oct-2026","26-Nov-2026","Md. Mujibur Rahman Chowdhury","DGM(Ops.), Additional Charge","Address : Meghna Petroleum Limited, 58-59, Agrabad Commercial Area, Chattogram. City : Chattogram Thana : Chattogram City Corporation District : Chattogram - 4100 Country : Bangladesh","Meghna Petroleum Limited, 58-59, Agrabad Commercial Area, Chattogram.","Chattogram","Chattogram City Corporation","Chattogram - 4100","02-333311484","02-333314661","Not Found","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1318594"
"Ministry of Health and Family Welfare","Health Services Division","Directorate General of Health Services (DGHS)","Rajnagar Upazila Health Complex, Moulvibazar","","Moulvibazar","Goods (Framework Agreement)","NCT","TENDER","Tender - Single Lot","UHC/Rajnagar/Tender/2026-27/925","229312","1323465","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","UHC/Rajn/Linenwashing/Medicine/2026-27 Procurement of Linen washing for Upazila Health Complex, Rajnagar, Moulvibazar in FY 2026-2027","Sewage- and refuse-disposal services, sanitation and environmental services; Miscellaneous services;Sewage and refuse collection and disposal services;Sewage services;Refuse services;Cleaning and sanitation services in urban or rural areas, and related services;Street-cleaning services;Gully-cleaning services;Asbestos removal services;Deleading services;Disinfecting and exterminating services in urban or rural areas;Beach cleaning services;Environmental and ecological services;Environmental services;Ecological services;Washing and dry-cleaning services;Laundry-collection services;Textile-cleaning services;Fur-products cleaning services;Colouring services;Pressing services;Dyeing services;Hairdressing and beauty treatment services;Hairdressing services;Beauty treatment services;Physical well-being services;Turkish bath services;Spa services;Massage services;Accommodation and office services;Accommodation services;Civic-amenity services;Car-park management services;Marine services;Aquatic marine services;Port management services;Diving services;Funeral and related services;Funeral services;Miscellaneous services n.e.c.;Decommissioning services;Relocation services;Tailoring services;Upholstering services;Locksmith services;Clearing and Forwarding Agent;Service Provider (Others)","27-Aug-2026 12:00","09-Sep-2026 16:00","As per TDS and PCC","Procurement of Linen washing for Upazila Health Complex, Rajnagar, Moulvibazar in FY 2026-2027","Lot wise","Package wise","Package wise","500","Payment through Bank","05-Feb-2027","05-Feb-2027","01","Procurement of Linen washing for Upazila Health Complex, Rajnagar, Moulvibazar in FY 2026-2027","Rajnagar Upazila Health Complex, Moulvibazar","17500","30-Sep-2026","30-Mar-2027","Bornali Das","UH&FPO","Address : Rajnagar , Moulvibazar City : Rajnagar Thana : Rajnagar District : Moulvibazar - 3240 Country : Bangladesh","Rajnagar , Moulvibazar","Rajnagar","Rajnagar","Moulvibazar - 3240","08625-75012","","700000.00, OTM","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1323465"
"Ministry of Health and Family Welfare","Health Services Division","Directorate General of Health Services (DGHS)","Rajnagar Upazila Health Complex, Moulvibazar","","Moulvibazar","Goods (Framework Agreement)","NCT","TENDER","Tender - Single Lot","UHC/Rajnagar/Tender/2026-27/925","229312","1323459","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","UHC/Rajn/MSR/Surgical/2026-27 Procurement of MSR Surgical for Upazila Health Complex, Rajnagar, Moulvibazar in FY 2026-2027","Medical and laboratory devices, optical and precision devices, watches and clocks, pharmaceuticals and related medical consumables;Medical devices;Imaging equipment for medical, dental and veterinary use;Functional exploration;Dentistry;Medical non-chemical consumables and haematological consumables;Therapy;Operating techniques;Anaesthesia and resuscitation;Functional support;Miscellaneous medical devices;Instruments and appliances for measuring, checking, testing and navigating;Navigational, meteorological, geological and geophysical instruments;Remote-control equipment;Precision balances, instruments for drawing, calculating and measuring length;Instruments for measuring quantities;Instruments for checking physical characteristics;Checking and testing apparatus;Regulating and controlling instruments and apparatus;Non-medical equipment based on the use of radiations;Industrial process control equipment;Optical instruments;Spectacles and lenses;Polarising material;Astronomical and optical instruments;Liquid crystal devices;Photographic equipment;Horological instruments;Watches and clocks","27-Aug-2026 12:00","09-Sep-2026 16:00","As per TDS and PCC","Procurement of MSR Surgical for Upazila Health Complex, Rajnagar, Moulvibazar in FY 2026-2027","Lot wise","Package wise","Package wise","1000","Payment through Bank","06-Jan-2027","06-Jan-2027","02","Procurement of MSR Surgical for Upazila Health Complex, Rajnagar, Moulvibazar in FY 2026-2027","Rajnagar Upazila Health Complex, Moulvibazar","37500","30-Sep-2026","30-Dec-2026","Bornali Das","UH&FPO","Address : Rajnagar , Moulvibazar City : Rajnagar Thana : Rajnagar District : Moulvibazar - 3240 Country : Bangladesh","Rajnagar , Moulvibazar","Rajnagar","Rajnagar","Moulvibazar - 3240","08625-75012","","1500000.00, OTM","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1323459"
"Ministry of Energy","Power and Mineral Resources","Northern Electricity Supply Company Ltd.","Procurement Department, NESCO, Rajshahi","","Rajshahi","Goods","NCT","TENDER","Tender - Single Lot","27.29.0000.000.012.07.0015.26-599, Date-25/08/2026","227467","1323415","Open Tendering Method (OTM)","Own Fund","Own Fund","Not applicable","Not applicable","2026-2027/GR-18 Procurement of 11 KV Metering CT (30-60/5A) for returning to WZPDCL","Electrical equipment and apparatus; Electrical machinery, apparatus, equipment and consumables; Electrical equipment for engines and vehicles; Sound or visual signalling apparatus; Magnets; Machines and apparatus with individual functions; Insulating fittings; Carbon electrodes; Electrical parts of machinery or apparatus; Electrical supplies and accessories;","27-Aug-2026 12:00","07-Sep-2026 11:00","As Per Document.","Procurement of 11kV Metering CT (30-60/5A) for Returning to WZPDCL.","Lot wise","Package wise","Package wise","1000","Payment through Bank","04-Mar-2027","04-Mar-2027","2026-2027/GR-18","Procurement of 11 KV Metering CT (30-60/5A) for returning to WZPDCL","RAJSHAHI","50000","17-Sep-2026","15-Oct-2026","DEWAN MD. ABU HENA MOSTAFA KAMAL","Superintending Engineer","Address : Biddyut Bhaban, Hetemkhan, Rajshahi. City : Rajshahi Thana : Rajshahi City Corporation District : Rajshahi - 6000 Country : Bangladesh","Biddyut Bhaban, Hetemkhan, Rajshahi.","Rajshahi","Rajshahi City Corporation","Rajshahi - 6000","0721-774686","","2500000.00, OTM","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1323415"
"Ministry of Health and Family Welfare","","Bangladesh Medical University","Office of Executive  Engineer (Electrical), BMU, Dhaka.","","Dhaka","Works","NCT","TENDER","Tender - Single Lot","e-tender/bmu/elect./2026-27/01","226504","1312041","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","e-tender/bmu/elect./2026-27/01 Yearly checking, testing, cleaning, servicing & re-commissioning of 16 Nos. 11/0.415 KV electrical sub-station equipment at Bangladesh Medical University, Shahbag, Dhaka-1000","Electrical machinery, apparatus, equipment and consumables;Electric motors, generators and transformers;Electric motors;Generators;Alternators;Cooling towers;Ballasts for discharge lamps or tubes;Parts of electric motors, generators and transformers;Transformers;Electricity distribution and control apparatus;Electrical apparatus for switching or protecting electrical circuits;Electrical circuit components;Parts of electricity distribution or control apparatus;Insulated wire and cable;Mains;Power distribution cables;Coaxial cable;Insulated cable accessories;Electric conductors for data and control purposes;Accumulators, primary cells and primary batteries;Primary cells;Primary batteries;Electric accumulators;Lighting equipment and electric lamps;Electric filament lamps;Lamps and light fittings;Parts of lamps and lighting equipment;Electrical equipment and apparatus;Electrical equipment for engines and vehicles;Sound or visual signalling apparatus;Magnets;Machines and apparatus with individual functions;Insulating fittings;Carbon electrodes;Electrical parts of machinery or apparatus;Electrical supplies and accessories;Electronic, electromechanical and electrotechnical supplies;Electronic equipment;Electromechanical equipment;Electrotechnical equipment","27-Aug-2026 11:55","07-Sep-2026 12:00","1. Having experience in successful completion of similar nature of works in a single tender amounting to Tk.10,50,000.00 ( Ten lac fifty thousand) only in a single Tender during last five years [the years counting backward from the date of invitation of this tender (IFT)] under any Government/Semi Govt./Autonomous Bodies/Private Organization. i)The certifying authority for that work completion shall be an officer not below the rank of Executive Engineer . ii) In case of the work done under any Private Organization, the Certificate shall be given by an owner/ CEO/ Managing Director of that Organization. 2. The tenderer shall have a minimum Average Annual Construction Turnover in the last 05 (five) years Tk.12,00,000.00 (Twelve lac) only which will be supported by the certificate of NBR/ Work completion certificate (The years counting backward from the date of invitation of tender). 3. The minimum amount of liquid asset or working capital or Letter of Commitment for Bank’s Undertaking for Line of Credit (as per Form PW2a-8) of Tender and Contract Forms must be submitted for this purpose of the successful Tenderer shall not be less than Tk.12,00,000.00 (Twelve lac) only. The supporting Bank document submitted along with the tender must be issued in between publication date and submission date of this Tender. 4. Tenderer should have sub-station equipment local manufacturing plant. Tenderer must be submitted that documents. 5. Tenderer should have membership of BMATS (Bangladesh Manufacturer’s Association of Transformers and Switchgears).Tenderer must be submitted that documents. 6. Necessary others supporting documents mustbe be submitted in accordance with TDS  of tender documents. Brief Description of Works : Yearly checking, testing, cleaning, servicing & re-commissioning of 16 Nos. 11/0.415 KV electrical sub-station equipment at Bangladesh Medical University, Shahbag, Dhaka-1000 Evaluation Type : Lot wise Document Available : Package wise Document Fees : Package wise Tender/Proposal Document Price (In BDT)
                            : 1000 Mode of Payment : Payment through Bank Tender/Proposal Security Valid Up to : 04-Mar-2027 Tender/Proposal Valid Up to : 04-Feb-2027 Lot No. Identification of Lot Location Tender/Proposal security (Amount in BDT) Tentative Start Date Tentative Completion Date 1 Yearly checking, testing, cleaning, servicing & re-commissioning of 16 Nos. 11/0.415 KV electrical sub-station equipment at Bangladesh Medical University, Shahbag, Dhaka-1000 Bangladesh Medical University 41000 01-Oct-2026 30-Sep-2027 Procuring Entity Details: Name of Official Inviting  Tender/Proposal : Md. Shahid  Akter Designation of Official Inviting  Tender/Proposal : Executive Engr. (Elect.) Address of Official Inviting  Tender/Proposal : Address : BMU, Shahabag, Dhaka. City : Shahabag Thana : Dhaka South City Corporation District : Dhaka - 1000 Country : Bangladesh Contact details of Official Inviting  Tender/Proposal : Phone No : 02-9666002 Fax No : The procuring entity reserves the right to accept or reject all Tenders/Proposals / Pre-Qualifications / EOIs Note: Bank will update the payment transactions only at the end of the day, so the tenderers should make sure the securities and other payments are made at least one day before the submission date. Documents Amendment / Corrigendum Detail Save As PDF","Yearly checking, testing, cleaning, servicing & re-commissioning of 16 Nos. 11/0.415 KV electrical sub-station equipment at Bangladesh Medical University, Shahbag, Dhaka-1000","Lot wise","Package wise","Package wise","1000","Payment through Bank","04-Mar-2027","04-Mar-2027","1","Yearly checking, testing, cleaning, servicing & re-commissioning of 16 Nos. 11/0.415 KV electrical sub-station equipment at Bangladesh Medical University, Shahbag, Dhaka-1000","Bangladesh Medical University","41000","01-Oct-2026","30-Sep-2027","Md. Shahid  Akter","Executive Engr. (Elect.)","Address : BMU, Shahabag, Dhaka. City : Shahabag Thana : Dhaka South City Corporation District : Dhaka - 1000 Country : Bangladesh","BMU, Shahabag, Dhaka.","Shahabag","Dhaka South City Corporation","Dhaka - 1000","02-9666002","","1524526.22, OTM","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1312041"
"Ministry of Home Affairs","","Bangladesh Police","Office of the Superintendent of Police, Lakshmipur","00126","Laksmipur","Goods","NCT","TENDER","Tender - Single Lot","Pac-6/LAK-SP/New/2026-2027","226268","1323476","Open Tendering Method (OTM)","Revenue","Government","Not applicable","Not applicable","e-GP-Pac-6/Lak/SP/New/2026-2027 Procurement of Premium Quality Lentil (Mosur Dal) for ration of Lakshmipur District Police (2nd Quarter). FY-2026-2027 (01 October 2026 to 31 December 2026)","Agricultural, horticultural, hunting and related products; Fish, fishing products and other by-products of the fishing industry; Fish; Crustaceans; Aquatic products; By-products of the fishing industry; Oil and associated products; Petroleum, natural gas, oil and associated products; Food products and beverages;Crops, products of market gardening and horticulture;Cereals and other crops;Vegetables, horticultural products and nursery products;Fruit, nuts, beverage and spice crops;Live animals and animal products;Cattle and their products;Farm animals and their products;Pigs;Live poultry and eggs;Small live animals and their products;Products of mixed farming;Agricultural supplies;Live fish;Fish, fresh or chilled;Fish meat;Fresh crustaceans;Oysters;Shellfish;Aquatic invertebrates;Corals or similar products;Natural sponges;Seaweeds;Fish meal;Bituminous or oil shale;Animal products, meat and meat products;Meat;Animal wool, hides and skins;Meat products;Prepared and preserved fish;Fish fillets, fish livers and roe;Frozen fish, fish fillets and other fish meat;Dried or salted fish; fish in brine; smoked fish;Canned or tinned fish and other prepared or preserved fish;Seafood;Fruit, vegetables and related products;Potatoes and potato products;Fruit and vegetable juices;Fruit and vegetables;Animal or vegetable oils and fats;Crude animal or vegetable oils and fats;Refined oils and fats;Edible fats;Dairy products;Milk and cream;Butter;Cheese products;Assorted dairy products;Grain mill products, starches and starch products;Grain mill products;Starches and starch products;Animal feedstuffs;Prepared animal feeds for farm and other animals;Miscellaneous food products;Bread products, fresh pastry goods and cakes;Rusks and biscuits; preserved pastry goods and cakes;Sugar and related products;Cocoa; chocolate and sugar confectionery;Pasta products;Coffee, tea and related products;Condiments and seasonings;Special nutritional products;Miscellaneous food products n.e.c. and dried goods;Beverages;Distilled alcoholic beverages;Wines;Cider and other fruit wines;Non-distilled fermented beverages;Malt beer;Non-alcoholic beverages","27-Aug-2026 12:00","06-Sep-2026 16:00","The following documents and sample must be submitted along with the submitted documents. Otherwise, the tender will be considered as cancelled. (a) Copies of valid Trade license for 2026-2027 fiscal year (Attested), (b) Bank solvency certificate (Attested), (c) Attested Income tax clearance certificate (2026-2027), (d) Up to date VAT registration certificate & TIN Certificate (Attested), (e) Ownership Certificate/Manufacturer Authorization Letter (Attested). (f) Declaration/Agreement signed by a Gazetted Officer to the effect that the bidder is not blacklisted, (g) Renewed Agriculture/Marketing License (Attested), (h) 80% Liquid Asset of total price according to Form-7 of e-PG2, (i) National ID Card with one copy PP size color Photograph (Attested), (j) General experience of 5 years in supply of goods and related services and 3 years of specific experience in supply of similar goods/works (Attested), (k) Tenderer must be submited 500 grams Lentil as a sample on opening date, before opening time. Lentil should be submitted to the Office of the Superintendent of Police, Lakshmipur. Lentil supply will be taken as per the said sample, (l) The required Lentil as per the work order shall be delivered to Lakshmipur Police Ration Store at its own cost and warehoused, (m) Other qualifications as stated in ITT, TDS, GCC, PCC.","Procurement of Premium Quality Lentil (Mosur Dal) for ration of Lakshmipur District Police (2nd Quarter). FY-2026-2027 (01 October 2026 to 31 December 2026). (1) As per the instructions of Police Headquarters, the following sample should be as per:-(a) Grain size: Should be small and there should be at least 600 grains per 10 grams of dal, (b) Color: Yellow to red orange color, (c) Cooking time: Should be cooked within 10 to 20 minutes on normal heat, (d) Smell: Should emit a pleasant smell during cooking, (e) Shell: Should be peeled. Should be free from unwanted objects (such as sand, stones, etc.), (f) Grain description: Grains should be whole. Grains should be of uniform size and properly dried, g) Taste: Should be tasty, (h) Hardness: When chewed with teeth, the dal grains will break but not flatten. That is, they should be properly dried, (I) Standard: Of high quality & (2) Police Headquarters, Memorandum No. 44-2013/832(150), dated 01/07/2021, during the supply of lentils, they should be packaged in high quality transparent poly packs of 3.5 kg, 4 kg and 5.5 kg. The weight of the product, date of production and expiry date should be clearly mentioned on the package.","Lot wise","Package wise","Package wise","1500","Payment through Bank","04-Dec-2026","04-Dec-2026","Single lot","Procurement of Premium Quality Lentil (Mosur Dal) for ration of Lakshmipur District Police (2nd Quarter). FY-2026-2027 (01 October 2026 to 31 December 2026)","Police Ration Store, Lakshmipur District","126000","01-Oct-2026","31-Dec-2026","MD. ABU TAREQ","SP","Address : Office of the Superintendent of Police, Lakshmipur City : Lakshmipur Thana : Laxmipur Sadar District : Laksmipur - 3700 Country : Bangladesh","Office of the Superintendent of Police, Lakshmipur","Lakshmipur","Laxmipur Sadar","Laksmipur - 3700","0381-55333","0381-55479","4342000.00, OTM","https://www.eprocure.gov.bd/resources/common/ViewTender.jsp?id=1323476"
